itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
59363,SARANGA TURMERIC POWDER 20 GM PLPCH,28,COOKING AIDS,SARANGA PRODUCTS,SARANGA,PLPCH,TURMERIC,,20,GM,20.00 GM,202307
59364,SARANGA PEPPER POWDER 50 GM PLPCH,28,COOKING AIDS,SARANGA PRODUCTS,SARANGA,PLPCH,PEPPER,,50,GM,50.00 GM,202307
59365,SARANGA TURMERIC POWDER 50 GM PLPCH,28,COOKING AIDS,SARANGA PRODUCTS,SARANGA,PLPCH,TURMERIC,,50,GM,50.00 GM,202307
59366,STAR GOLD CHICKEN FLAVOUR SOYA MEAT 100 GM PLPCH,10,SOYA MEAT,RG BROTHERS,STAR GOLD,PLPCH,CHICKEN,,100,GM,100.00 GM,202307
59367,STAR GOLD JAFFNA CURRY FLAVOUR SOYA MEAT 100 GM PLPCH,10,SOYA MEAT,RG BROTHERS,STAR GOLD,PLPCH,JAFFNA CURRY,,100,GM,100.00 GM,202307
59368,KEKULU (SIDDHALEPA) KING COCONUT OIL RED SANDALWOOD WADA MAL CDBOX (70*5) 350 GM + SAVE RS 45,13,TOILET SOAP,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,CDBOX,HERBAL,,350,GM,350.00 GM,202307
59369,"KEKULU (SIDDHALEPA) THAMBILI THEL ,SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP CDBOX (70GM*5) 350 GM + SAVE RS 45",13,TOILET SOAP,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,CDBOX,HERBAL,,350,GM,350.00 GM,202307
59370,KEKULU (SIDDHALEPA) KING COCONUT OIL-LOTHSUBULU ALOEVERA CDBOX (70*5) 350 GM + SAVE RS 45,13,TOILET SOAP,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,CDBOX,HERBAL,,350,GM,350.00 GM,202307
59371,AMILA TURMERIC POWDER 100 GM PLPCH,28,COOKING AIDS,AMILA PRODUCTS,AMILA,PLPCH,TURMERIC,,100,GM,100.00 GM,202307
59372,MILADY CHOCO MINT SOFT CENTRE 3.2 GM 1 NOS,11,SUGAR CONFECTIONERY,SUNSHINE COUNSUMER LANKA LTD,MILADY,,,,1,NO,1.00 NO,202307
59373,KICHEN KING CHILLI PIECES 250 GM PLPCH,28,COOKING AIDS,KICHEN KING,KICHEN KING,PLPCH,CHILLI FLAKES,,250,GM,250.00 GM,202307
59374,KICHEN KING CHILLI POWDER 500 GM PLPCH,28,COOKING AIDS,KICHEN KING,KICHEN KING,PLPCH,CHILLI POWDER,,500,GM,500.00 GM,202307
59375,LAXMI PEPPER POWDER 50 GM PLPCH,28,COOKING AIDS,LAXMI DISTRIBUTORS,LAXMI,PLPCH,PEPPER,,50,GM,50.00 GM,202307
59376,M.G.M HATTON MALLIKA CHILLI POWDER 250 GM PLPCH,28,COOKING AIDS,MALLIKA GRINDING MILLS,M.G.M HATTON MALLIKA,PLPCH,CHILLI POWDER,,250,GM,250.00 GM,202307
59377,RASIKA CURRY POWDER 1000 GM PLPCH,28,COOKING AIDS,RASIKA PRODUCTS,RASIKA,PLPCH,CURRY,,1000,GM,1000.00 GM,202307
59378,RASIKA CHILLI PIECES 1000 GM PLPCH,28,COOKING AIDS,RASIKA PRODUCTS,RASIKA,PLPCH,CHILLI FLAKES,,1000,GM,1000.00 GM,202307
59379,RASIKA CHILLI POWDER 1000 GM PLPCH,28,COOKING AIDS,RASIKA PRODUCTS,RASIKA,PLPCH,CHILLI POWDER,,1000,GM,1000.00 GM,202307
59380,WILLIAM CHILLI POWDER 50 GM PLPCH,28,COOKING AIDS,WILLIAM FOOD PROCESSING (PVT) LTD,WILLIAM,PLPCH,CHILLI POWDER,,50,GM,50.00 GM,202307
59381,DELISH ORANGE FLAVOURED JELLY CRYSTALS 100 GM CDBOX + SAVE RS 10,31,DRY DESSERT PRE MIXES,C.W. MACKIE PLC,DELISH,CDBOX,ORANGE,,100,GM,100.00 GM,202307
59382,MIRACLE KESHA PRATHIKARA ARGAN OIL VITAMIN B5 LONG & STRONG CONDITIONER 200 ML PLBOT,26,SHAMPOOS/CONDITIONERS,BRITISH COSMETICS,MIRACLE,PLBOT,,,200,ML,200.00 ML,202307
