itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
10001,ELEPHANT APPLE SODA-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT APPLE SODA,PET,APPLE SODA,APPLE SODA,500,ML,500.00 ML,200802
10005,CAMEL ASTO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,202007
10006,CAMEL ASTO-PET 400 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201708
10007,CAMEL ASTO-PET 750 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,202007
10008,ELEPHANT NECTO-CAN 330 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,CAN,BLACK CURRANT,BLACK CURRANT,330,ML,330.00 ML,201604
10009,ELEPHANT NECTO-PET 1000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201311
10010,ELEPHANT NECTO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,200701
10011,ELEPHANT NECTO-PET 2000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201403
10012,ELEPHANT NECTO-PET 350 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,350,ML,350.00 ML,201801
10013,ELEPHANT NECTO-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,200710
10014,ELEPHANT NECTO-RGB 200 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,RGB,BLACK CURRANT,BLACK CURRANT,200,ML,200.00 ML,200706
10015,ELEPHANT NECTO-RGB 400 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,RGB,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,200701
10016,ELEPHANT NECTO GO SUGAR FREE-PET 1000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201805
10017,ELEPHANT NECTO GO SUGAR FREE-PET 2000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201805
10018,ELEPHANT NECTO GO SUGAR FREE-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,201805
10019,ELEPHANT NECTO GO SUGAR FREE-RGB 200 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,BLACK CURRANT,BLACK CURRANT,200,ML,200.00 ML,201805
10020,ELEPHANT NECTO GO SUGAR FREE-RGB 400 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201805
10021,COOOL NECTELLO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201301
10022,COOOL NECTELLO-PET 220 ML,2,SOFT DRINKS-SRILANKA,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,220,ML,220.00 ML,201310
10023,PORTELLO-PET 2000 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201403
10025,PORTELLO-PET 2250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,2250,ML,2250.00 ML,201703
10026,PORTELLO-PET 250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,250,ML,250.00 ML,201808
10027,PORTELLO-PET 400 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201603
10029,PORTELLO-PET 750 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201604
10030,PORTELLO-PET 1050 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,1050,ML,1050.00 ML,201811
10031,PORTELLO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,200903
10032,PORTELLO-PET 1500 ML (1250 ML + FREE 250 ML),2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201612
10033,PORTELLO-RGB 300 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,RGB,BLACK CURRANT,BLACK CURRANT,300,ML,300.00 ML,200903
10034,PORTELLO-RGB 175 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO,RGB,BLACK CURRANT,BLACK CURRANT,175,ML,175.00 ML,201112
10035,PORTELLO SUGAR FREE-PET 1050 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,1050,ML,1050.00 ML,201806
10036,PORTELLO SUGAR FREE-PET 2000 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201802
10037,PORTELLO SUGAR FREE-PET 250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,250,ML,250.00 ML,201803
10038,PORTELLO SUGAR FREE-PET 400 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201802
10039,PORTELLO SUGAR FREE-PET 750 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201802
10044,COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1500 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201902
10046,COOL & COOL (E I & M PVT LTD) NECTELLO- PET 750 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201807
10047,COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1000 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201707
10049,COOL & COOL (E I & M PVT LTD) NECTELLO-PET 330 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,BLACK CURRANT,BLACK CURRANT,330,ML,330.00 ML,201710
10051,ICY NEETOO-PET 350 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY NEETOO,PET,BLACK CURRANT,BLACK CURRANT,350,ML,350.00 ML,201808
10052,ICY NEETOO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY NEETOO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201809
10054,ICY NEETOO-PET 750 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY NEETOO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201809
10055,ICY NEETOO-PET 750 ML LITE LOW SUGAR,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY NEETOO LITE LOW SUGAR,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201809
10057,MAX NECTA-PET 400 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NECTA,PET,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201408
10058,MAX NECTA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NECTA,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201512
10061,MAX NEXTA-PET 1000 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201603
10062,MAX NEXTA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,201607
10063,MAX NEXTA-PET 2000 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201804
10064,MAX NEXTA-PET 375 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,375,ML,375.00 ML,201604
10065,MAX NEXTA-PET 500 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,201807
10066,MAX NEXTA-PET 750 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX NEXTA,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201712
10070,MIRAGE ICE PORTESA-PET 350 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,BLACK CURRANT,BLACK CURRANT,350,ML,350.00 ML,201702
10071,MIRAGE ICE PORTESA-PET 600 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,BLACK CURRANT,BLACK CURRANT,600,ML,600.00 ML,202006
10072,MIRAGE ICE PORTESA-PET 750 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201801
10074,MY BERRY-PET 1000 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201703
10075,MY BERRY-PET 1500 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,202001
10076,MY BERRY-PET 330 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,BLACK CURRANT,BLACK CURRANT,330,ML,330.00 ML,201012
10077,MY BERRY-PET 500 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,201909
10078,MY BERRY-PET 750 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201707
10079,OLE ZINGO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,200701
10081,OLE ZINGO-PET 250 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,PET,BLACK CURRANT,BLACK CURRANT,250,ML,250.00 ML,202007
10083,OLE ZINGO-PET 500 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,200701
10084,OLE ZINGO-PET 750 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,201703
10085,OLE ZINGO-PET 1000 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201606
10086,OLE ZINGO-RGB 200 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,OLE ZINGO,RGB,BLACK CURRANT,BLACK CURRANT,200,ML,200.00 ML,200701
10089,LANKA FRUITY -PET 1500 ML,2,SOFT DRINKS-SRILANKA,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,OTHERS,FRUIT,1500,ML,1500.00 ML,202002
10090,LANKA FRUITY -PET 850 ML,2,SOFT DRINKS-SRILANKA,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,OTHERS,FRUIT,850,ML,850.00 ML,202002
10091,LANKA FRUITY-PET 330 ML,2,SOFT DRINKS-SRILANKA,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,OTHERS,FRUIT,330,ML,330.00 ML,202002
10092,LANKA COLA-PET 330 ML,2,SOFT DRINKS-SRILANKA,WICHY BEVERAGES (PVT) LTD,LANKA COLA,PET,COLA,COLA,330,ML,330.00 ML,201701
10093,KIK COLA-PET 1000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,KIK COLA,PET,COLA,COLA,1000,ML,1000.00 ML,201310
10094,KIK COLA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,KIK COLA,PET,COLA,COLA,1500,ML,1500.00 ML,201011
10095,KIK COLA-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,KIK COLA,PET,COLA,COLA,500,ML,500.00 ML,201011
10096,KIK COLA-RGB 200 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,KIK COLA,RGB,COLA,COLA,200,ML,200.00 ML,201011
10099,7 GB PLBOT 350 ML,2,SOFT DRINKS-SRILANKA,CEYLON LION BEVERAGE PVT LTD,7 GB,PET,GINGER,GINGER,350,ML,350.00 ML,202006
10100,7 GB PLBOT 750 ML,2,SOFT DRINKS-SRILANKA,CEYLON LION BEVERAGE PVT LTD,7 GB,PET,GINGER,GINGER,750,ML,750.00 ML,202009
10101,7 NUP PLBOT 1500 ML,2,SOFT DRINKS-SRILANKA,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,LEMON & LIME,LEMON & LIME,1500,ML,1500.00 ML,202007
10102,7 NUP PLBOT 330 ML,2,SOFT DRINKS-SRILANKA,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,LEMON & LIME,LEMON & LIME,330,ML,330.00 ML,202007
10103,7 NUP PLBOT 750 ML,2,SOFT DRINKS-SRILANKA,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,LEMON & LIME,LEMON & LIME,750,ML,750.00 ML,202007
10104,COCA-COLA-CAN 300 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,CAN,COLA,COLA,300,ML,300.00 ML,200701
10105,COCA-COLA-PET 1250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,1250,ML,1250.00 ML,201508
10106,COCA-COLA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,1500,ML,1500.00 ML,200701
10107,COCA-COLA-PET 2000 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,2000,ML,2000.00 ML,201409
10109,COCA-COLA-PET 2250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,2250,ML,2250.00 ML,201702
10110,COCA-COLA-PET 250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,250,ML,250.00 ML,201808
10111,COCA-COLA-PET 400 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,400,ML,400.00 ML,201603
10113,COCA-COLA-PET 750 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,750,ML,750.00 ML,201603
10114,COCA-COLA-PET 1050 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,PET,COLA,COLA,1050,ML,1050.00 ML,201809
10115,COCA-COLA-RGB 175 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,RGB,COLA,COLA,175,ML,175.00 ML,200701
10116,COCA-COLA-RGB 300 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA,RGB,COLA,COLA,300,ML,300.00 ML,200701
10117,COCA-COLA LIGHT-PET 400 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA LIGHT,PET,COLA,COLA,400,ML,400.00 ML,201605
10118,COCA-COLA ZERO-PET 1050 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,COLA,COLA,1050,ML,1050.00 ML,201806
10119,COCA-COLA ZERO-PET 2000 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,COLA,COLA,2000,ML,2000.00 ML,201712
10121,COCA-COLA ZERO-PET 250 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,COLA,COLA,250,ML,250.00 ML,201802
10122,COCA-COLA ZERO-PET 400 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,COLA,COLA,400,ML,400.00 ML,201705
10123,COCA-COLA ZERO-PET 750 ML,2,SOFT DRINKS-SRILANKA,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,COLA,COLA,750,ML,750.00 ML,201712
10125,COOL & COOL (E I & M PVT LTD) COLA-PET 330 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,COLA,COLA,330,ML,330.00 ML,201708
10126,COOL & COOL (E I & M PVT LTD) COLA-PET 350 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,COLA,COLA,350,ML,350.00 ML,201706
10127,COOL & COOL (E I & M PVT LTD) COLA-PET 750 ML,2,SOFT DRINKS-SRILANKA,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,COLA,COLA,750,ML,750.00 ML,201802
10129,ICY COLA-PET 350 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY COLA,PET,COLA,COLA,350,ML,350.00 ML,201807
10130,ICY COLA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY COLA,PET,COLA,COLA,1500,ML,1500.00 ML,201904
10131,ICY COLA-PET 750 ML,2,SOFT DRINKS-SRILANKA,ICY BEVERAGES,ICY COLA,PET,COLA,COLA,750,ML,750.00 ML,201809
10136,MAX COLA -PET 750 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX COLA,PET,COLA,COLA,750,ML,750.00 ML,201901
10137,MAX COLA-PET 1000 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX COLA,PET,COLA,COLA,1000,ML,1000.00 ML,201607
10138,MAX COLA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX COLA,PET,COLA,COLA,1500,ML,1500.00 ML,201512
10139,MAX COLA-PET 375 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX COLA,PET,COLA,COLA,375,ML,375.00 ML,201605
10142,MAX COLA NO SUGAR -PET 750 ML,2,SOFT DRINKS-SRILANKA,MAX BEVERAGES,MAX COLA NO SUGAR,PET,COLA,COLA,750,ML,750.00 ML,201804
10143,MIRAGE ICE COLA-PET 1000 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,COLA,COLA,1000,ML,1000.00 ML,201704
10144,MIRAGE ICE COLA-PET 1500 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,COLA,COLA,1500,ML,1500.00 ML,202010
10145,MIRAGE ICE COLA-PET 350 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,COLA,COLA,350,ML,350.00 ML,201705
10146,MIRAGE ICE COLA-PET 600 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,COLA,COLA,600,ML,600.00 ML,202003
10147,MIRAGE ICE COLA-PET 750 ML,2,SOFT DRINKS-SRILANKA,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,COLA,COLA,750,ML,750.00 ML,201801
10148,MY COLA-PET 750 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA,PET,COLA,COLA,750,ML,750.00 ML,202009
10150,MY COLA-PET 330 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA,PET,COLA,COLA,330,ML,330.00 ML,200701
10153,MY COLA ZERO-PET 330 ML,2,SOFT DRINKS-SRILANKA,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA ZERO,PET,COLA,COLA,330,ML,330.00 ML,201804
10155,PEPSI BLACK ZERO-PET 500 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI BLACK ZERO,PET,COLA,COLA,500,ML,500.00 ML,201803
10156,PEPSI BLACK ZERO-RGB 200 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI BLACK ZERO,RGB,COLA,COLA,200,ML,200.00 ML,201804
10157,PEPSI-CAN 300 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,CAN,COLA,COLA,300,ML,300.00 ML,200701
10158,PEPSI-PET 1000 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,1000,ML,1000.00 ML,201211
10159,PEPSI-PET 1500 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,1500,ML,1500.00 ML,200701
10160,PEPSI-PET 2000 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,2000,ML,2000.00 ML,201207
10161,PEPSI-PET 250 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,250,ML,250.00 ML,202008
10162,PEPSI-PET 330 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,330,ML,330.00 ML,201610
10163,PEPSI-PET 345 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,345,ML,345.00 ML,201703
10165,PEPSI-PET 500 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,500,ML,500.00 ML,200701
10166,PEPSI-PET 750 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,PET,COLA,COLA,750,ML,750.00 ML,201701
10169,PEPSI-RGB 200 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,RGB,COLA,COLA,200,ML,200.00 ML,201008
10170,PEPSI-RGB 207 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,RGB,COLA,COLA,207,ML,207.00 ML,200701
10171,PEPSI-RGB 300 ML,2,SOFT DRINKS-SRILANKA,PEPSICO INTERNATIONAL,PEPSI,RGB,COLA,COLA,300,ML,300.00 ML,200701
10172,LANKA COLA-PET 850 ML,2,SOFT DRINKS-SRILANKA,WICHY BEVERAGES (PVT) LTD,LANKA COLA,PET,COLA,COLA,850,ML,850.00 ML,201907
10173,LIP SIP COLA -PET 250 ML,2,SOFT DRINKS-SRILANKA,KEMAAR INTERNATIONAL PVT LTD,LIP SIP COLA,PET,COLA,COLA,250,ML,250.00 ML,202010
10174,LIP SIP FRUIT BEER-PET 250 ML,2,SOFT DRINKS-SRILANKA,KEMAAR INTERNATIONAL PVT LTD,LIP SIP FRUIT BEER,PET,OTHERS,FRUIT,250,ML,250.00 ML,202003
10175,CAMEL GINGER BEER-PET 400 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL GINGER BEER,PET,GINGER,GINGER,400,ML,400.00 ML,201708
10177,KIST KIZZ 215 ML CAN SPARKLING GINGER DRINK,2,SOFT DRINKS-SRILANKA,CPC AGRO FOODS (PVT) LTD,KIST KIZZ GINGER,CAN,GINGER,GINGER,215,ML,215.00 ML,201906
10178,ELEPHANT (EGB) GINGER BEER LIGHT LIGHT-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT GINGER BEER LIGHT,PET,GINGER,GINGER,500,ML,500.00 ML,201209
10179,ELEPHANT DRY GINGER ALE-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT DRY GINGER ALE,PET,GINGER,GINGER,500,ML,500.00 ML,201203
10180,ELEPHANT DRY GINGER ALE-RGB 400 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT DRY GINGER ALE,RGB,GINGER,GINGER,400,ML,400.00 ML,201209
10181,ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-PET 1000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,PET,GINGER,GINGER,1000,ML,1000.00 ML,201805
