itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
54239,LIFEBUOY KOHOMBA AND ALOEVERA SOAP EWRPK (75*4) 300 GM + SAVE RS 50,13,TOILET SOAP,UNILEVER SRI LANKA LTD,LIFEBUOY,EWRPK,KOHOMBA & ALOEVERA,,300,GM,300.00 GM,202207,1
54240,SIGNAL STRONG TEETH NEW FORMULA WITH ENHA. CAVITY PROTE. CDBOX 120 GM + SAVE RS 15,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,SIGNAL STRONG TEETH,CDBOX,,,120,GM,120.00 GM,202207,1
54241,SIGNAL STRONG TEETH NEW FORMULA WITH ENHA. CAVITY PROTE. CDBOX 160 GM + SAVE RS 20,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,SIGNAL STRONG TEETH,CDBOX,,,160,GM,160.00 GM,202207,1
54242,STAR BRAND TURMERIC POWDER 20 GM PLPCH (SHENAL DISTRIBUTORS),28,COOKING AIDS,STAR FOOD PRODUCTS,STAR BRAND,PLPCH,TURMERIC,,20,GM,20.00 GM,202207,1
54243,CATCH CHILLI PIECES 250 GM PLPCH,28,COOKING AIDS,GNANAM FOODS (PVT) LTD,CATCH,PLPCH,CHILLI FLAKES,,250,GM,250.00 GM,202207,1
54244,DANUSKA - EXERCISE BOOK (A5) 80 PGS -1 NO,39,STATIONERY,DANUSKA BOOK SHOP,DANUSKA,,80,A5,1,NO,1.00 NO,202207,1
54245,CAMEL - (ECO STATIONERY (PVT) LTD) - COLOR PASTELS MIXING MAGIC - 12 COLOUR PACK - 1 NO CDBOX,39,STATIONERY,ECO STATIONERY (PVT) LTD,CAMEL,CDBOX,12,,1,NO,1.00 NO,202207,1
54246,WIJITHA PEPPER POWDER 100 GM PLPCH,28,COOKING AIDS,WIJITHA PRODUCTS,WIJITHA,PLPCH,PEPPER,,100,GM,100.00 GM,202207,1
54247,WIJITHA CHILLI POWDER 100 GM PLPCH,28,COOKING AIDS,WIJITHA PRODUCTS,WIJITHA,PLPCH,CHILLI POWDER,,100,GM,100.00 GM,202207,1
54248,CHAANDIMA SPECIAL NOODLES 500 GM PLPCH,24,NOODLES,CHAANDIMA TRADING,CHAANDIMA,PLPCH,,BULK,500,GM,500.00 GM,202207,1
54249,LAKSHAKTHI CURRY POWDER 1000 GM PLPCH,28,COOKING AIDS,LAKSHAKTHI FOOD PRODUCTS,LAKSHAKTHI,PLPCH,CURRY,,1000,GM,1000.00 GM,202207,1
54250,HAYLEYS GOVI ARUNA UNROSTED CURRY POWDER 100 GM PLPCH,28,COOKING AIDS,HAYLEYS CONSUMER PRODUCTS LTD,HAYLES GOVI ARUNA,PLPCH,CURRY,,100,GM,100.00 GM,202207,1
54251,NELCO CHILLI PIECES 250 GM PLPCH,28,COOKING AIDS,NELCO FOOD PRODUCTS (PVT) LTD,NELCO,PLPCH,CHILLI FLAKES,,250,GM,250.00 GM,202207,1
54252,TF CHILLI PICESS 50 GM PLCH (THAKSHI FOODS),28,COOKING AIDS,THAKSHI FOODS PRODUCTS,TF,PLPCH,CHILLI FLAKES,,50,GM,50.00 GM,202207,1
54253,WIMAIA GAMBOGE CREAM 100 GM CUP,28,COOKING AIDS,WIMALA PRODUCTS,WIMALA,PLCUP,OTHER,,100,GM,100.00 GM,202207,1
54254,DUMINDU PRACTICAL BOOK 1 INCH SQUARE RULE (A5) 80 PGS - 1 NO,39,STATIONERY,DUMINDU INDUSTRIES AND PRINTERS PVT LTD,DUMINDU,,80,A5,1,NO,1.00 NO,202207,1
54255,"FAIR & LOVELY (USL) IS NOW GLOW & LOVELY ADVA.MULTI VIT.25 GM WITH VIT.B3, B6, C & E + FREE LUX SOFT & GLOW JAS.& V.E 7 SOAP 40 GM",19,CREAMS & LOTIONS,UNILEVER SRI LANKA LTD,FAIR & LOVELY ADVANCED MULTI VITAMIN,CDBOX,MULTIVITAMIN,,25,GM,25.00 GM,202207,1
54256,LEVER AYUSH ANTI CAVITY CLOVE OIL TOOTHPASTE CDBOX 160 GM + SAVE RS 15,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,LEVER AYUSH,CDBOX,,,160,GM,160.00 GM,202207,1
