PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202309,1,61155853,10227010002,1695714881216,12,AHMED TEA (PVT) LTD,AHMED TEA,AHMED TEA/200/G/CDBOX/ENGLISH BREAKFAST A STRONG ND RICH BLACK TEA BAGS (100 TEABAGS),770,200G,CDBOX,,1695714881216-ahmed tea -pvt- ltd-ahmed tea#3.png
202309,1,45658699,42404010002,1695704970521,24,FREELAN ENTERPRISES(PVT)LTD,FREELAN,FREELAN/400/GM/PLPCH/NOODLES,285,400GM,"PLPCH ",Sales Deviation is OK,1695704970521-freelan enterprises-pvt-ltd-freelan#3.png
202309,1,8147466,11108010008,1695707119072,26,SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO /(SHELLO COSMETICS)/ KING COCONUT CONDITIONER/ 1000/ML /PLBT,1150,"1000ML ",PLBT,,1695707119072-shello cosmetics co -pvt-ltd-shello#3.png
202309,1,111618487,11833010001,1695713068145,14,DARLEY BUTLER,DENTA TEEN,DENTA TEEN\1NO\SOFT ADULT TOOTH BRUSH,120,1NO,NO,,1695713068145-darley butler-denta teen#3.png
202309,5,10981,19050001,1695705171992,38,V. L. K ENTERPRISE,RUSH,RUSH\2\L\PLCAN\WOOD PRESERVATIVE CLEAR,2495,2L,PLCAN,,1695705171992-v- l- k enterprise-rush#3.png
202309,1,116828074,19909010005,1695716088634,26,BRITISH COSMETICS,MIRACLE,MIRACLE/200/ML/PBT/EXTREME REPAIR CONDITIONER + SAVE AS 149 RS,841,200ML,PBT,,1695716088634-british cosmetics-miracle#3.png
202309,1,116828074,19909010005,1695716675446,26,BELLOSE LANKA LTD,BELLOSE,"BELLOSE/100/ML/PLPCH/KERATIN SHAMPOO FOR NORMAL HAIR ",195,100ML,PLPCH,,1695716675446-bellose lanka ltd-bellose#3.png
202309,1,116828074,19909010005,1695716219393,26,BRITISH COSMETICS,MIRACLE,MIRACLE/200/ML/PBT/ANTI DANDRUFF CLEANSING SCALP SHAMPOO/ SAVE AS 149 RS,841,200ML,PBT,,1695716219393-british cosmetics-miracle#3.png
202309,1,116828074,19909010005,1695716352152,26,BRITISH COSMETICS,MIRACLE,"MIRACLE/200/ML/PBT/INTENSE MOISTURE REPLENISHING SHAMPOO/ SAVE AS 149 RS ",841,200ML,PBT,,1695716352152-british cosmetics-miracle#3.png
202309,1,110006556,31401010003,1695714377903,9,PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400G/CDBOX/FULL CREAM MILK POWDER SAVE RS 81.00,999,"400G ","CDBOX ",,1695714377903-pure dale ceylon -pvt- ltd-puredale#3.png
202309,1,110006556,31401010003,1695619123169,16,UNILEVER SRI LANKA LTD,WONDERLIGHT,"WONDERLIGHT POWER/140G/PLPCH/LEMON FRESH ",80,140G,"PLPCH ",,1695714377903-pure dale ceylon -pvt- ltd-puredale#3.png
202309,1,110006556,31401010003,1695714733567,23,UNILEVER LIPTON CEYLON LTD,VIVA GOODNESS,VIVA/PLPCH/400G/GOODNESS OF MALT & MILK SAVE RS 160.00,760,"400G ","PLPCH ",,1695714733567-unilever lipton ceylon ltd-viva goodness#3.png
202309,1,110006556,31401010003,1695707701306,13,UNILEVER SRI LANKA LTD,"LUX ",LUX/100G/EWPRK/BRIGHT GLOW VITAMIN C + E BIC BEAUTY BAR,175,"100G ","EWPRK ",,1695707701306-unilever sri lanka ltd-lux #3.png
202309,1,115898349,21307010003,1694575983547,24,CEYLON AGRO INDUSTRIES,PRIMA STELLA,"PRIMA STELLA \73\G\PLCUP\CREAMY CHICKEN FLAVOUR ",160,73G,"PLCUP ",,1695707701306-unilever sri lanka ltd-lux #3.png
202309,1,58046786,19705010001,1695624780337,9,PURE DALE CEYLON (PVT) LTD,PUREDALE,PURE DALE/FULL CREAM/MILK POWDER/18 GM/PLPCH,60,18 GM,PLPCH,,1695624780337-pure dale ceylon -pvt- ltd-puredale#3.png
202309,1,38138605,11101010029,1695713471920,9,FONTERRA BRANDS LANKA (PVT)LTD,ANCHOR,ANCHOR/400G/CDBOX/NON-FAT,1200,400G,CDBOX,,1695713471920-fonterra brands lanka -pvt-ltd-anchor#3.png
202309,1,38138605,11101010029,1695715583433,13,UNILEVER SRI LANKA LTD,LUX,LUX/210(70×3)G/EWRPK/BRIGHT GLOW VITAMIN C+E SAVE/-25,350,210G,EWRPK,,1695715583433-unilever sri lanka ltd-lux#3.png
