PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202402,5,15257,638050002,1708145949767,37,LANKEM CEYLON PLC,ROBBIALAC,ROBBIALAC/1/L/BUCKET/INTERIOR EMULSION COLLECTION - COLOURS,0,1L,BUCKET,Delete the Item,1708145949767-lankem ceylon plc-robbialac#3.png
202402,5,15257,638050002,1708148033943,37,LANKEM CEYLON PLC,ROBBIALAC,ROBBIALAC/1/L/BUCKET/BRILLIANT WHITE INTERIOR COLLECTION,0,1L,BUCKET,Delete the Item,1708148033943-lankem ceylon plc-robbialac#3.png
202402,5,15257,638050002,1708144000809,37,LANKEM CEYLON PLC,ROBBIALAC,ROBBIALAC/20/L/BUCKET/WEATHERCOAT BRILLIANT WHITE EXTERIOR EMULSION,0,20L,BUCKET,Delete the Item,1708144000809-lankem ceylon plc-robbialac#3.png
202402,5,15257,638050002,1708143867693,37,LANKEM CEYLON PLC,ROBBIALAC,ROBBIALAC/4/L/BUCKET/WEATHERCOAT BRILLIANT WHITE EXTERIOR EMULSION,0,4L,BUCKET,Delete the Item,1708143867693-lankem ceylon plc-robbialac#3.png
202402,5,15257,638050002,1708146468553,37,LANKEM CEYLON PLC,ROBBIALAC,ROBBIALAC/1/L/EXTERIOR EMULSION COLLECTION - COLOURS,0,1L,BUCKET,Delete the Item,1708146468553-lankem ceylon plc-robbialac#3.png
202402,5,14788,1049050001,1708146130435,37,MACKSOL PAINT (PVT) LTD,MULTILAC 24 K GLITTER GOLD,"MULTILAC /4*1ML/,BUCKET /SUPER BRIGHT WHITE /WEATHER GUARD ULTRA ",18900,4*1,BUCUT,,1708146130435-macksol paint -pvt- ltd-multilac 24 k glitter gold#3.png
202402,5,12129,88050007,1708144447592,38,SOLANKA CHEMICAL INDUSTRIES,SOLANKA HAIL,"SOLANKA HAIL/1/L/GBT/WOOD PRESERVATIVE ",300,1 L,GBT,,1708144447592-solanka chemical industries-solanka hail#3.png
202402,5,14526,596050001,1708079156949,36,RAVI INDUSTRIES LIMITED,RA,"RAVI/9""/RAVI BLUE CLASSIC PRO 2 IN 1 ROLLER",1600,"9""",RAVI ROLLER,,1708079156949-ravi industries limited-ra#3.png
202402,1,39607039,12103010016,1708063959648,13,SASIRI POLYSACKES(PVT)LTD,BLISS,BLISS/75/GM/CDBOX/ALOE VERA MOISTURISING SOAP,135,75 GM,"CDBOX ",,1708063959648-sasiri polysackes-pvt-ltd-bliss#3.png
202402,2,39607039,12103020028,1708066403584,2,RAJAPAKSHA DISTRIBUTORS PVT LTD,"A-1 BEVERAGES ","A-1 BEVERAGES/350/ML/PBT/ORANGE ",100,350 ML,PBT,,1708066403584-rajapaksha distributors pvt ltd-a-1 beverages #3.png
202402,2,39607039,12103020028,1708068591154,2,RAJAPAKSHA DISTRIBUTORS PVT LTD,"A-1 BEVERAGES ",A-1 BEVERAGES/1500/ML/PBT/WINTOO,300,1500 ML,PBT,,1708068591154-rajapaksha distributors pvt ltd-a-1 beverages #3.png
202402,2,39607039,12103020028,1707215797408,2,CEYLON BEVRAGE INTERNATIONAL PVT LTD,"SUN CRUSH ","SUN CRUSH/250/ML/CAN/CARBONATED GREEN APPLE FLAVOURED ",150,250 ML,CAN,,1708068591154-rajapaksha distributors pvt ltd-a-1 beverages #3.png
202402,2,39607039,12103020028,1708066171654,2,RAJAPAKSHA DISTRIBUTORS PVT LTD,"A-1 BEVERAGES ",A-1 BEVERAGES/350/ML/PBT/CREAM SODA,100,350 ML,PBT,,1708066171654-rajapaksha distributors pvt ltd-a-1 beverages #3.png
202402,2,39607039,12103020028,1707881558833,5,MINTAGE AQUA (PVT) LTD,MINTAGE,"MINTAGE/1500/ML/PBT/BOTTLED DRINKING WATER ",160,1500 ML,PBT,,1708066171654-rajapaksha distributors pvt ltd-a-1 beverages #3.png
202402,1,321021,11872010001,1708058731443,28,CHAMAL FOOD PRODUCTS,CHAMAL,CHAMAL/50/GM /PLPCH/ CHILLI PICES,85,50GM,"PLPCH ",,1708058731443-chamal food products-chamal#3.png
202402,1,321021,11872010001,1708073869253,25,DREAM LIFE SCIENCE (PVT)LTD,AARYA,"AARYA EASY/8/1NO/PLPCH/SANITARY NAPKINS, SOFT WINGS",150,"8 NAPKINS ","PLPCH ",,1708073869253-dream life science -pvt-ltd-aarya#3.png
202402,1,321021,11872010001,1708062775815,21,DKN DISTRIBUTORS,DIP,"DIP/500/ML/PLBOT/DISHWASH LIQUID, EXTRA POWER OF  LEMON",390,500ML,PLBOT,,1708062775815-dkn distributors-dip#3.png
202402,1,321021,11872010001,1708059367228,28,CHAMAL FOOD PRODUCTS,CHAMAL,CAMAL/100/GM/PLCUP/PURE GAMBOGE CREAM,85,100GM,PLCUP,,1708059367228-chamal food products-chamal#3.png
202402,1,70432209,19676010001,1708068223022,24,HETTIGE FOOD PRODUCTS,"HETTIGE ",HETTIGE NOODLES 500GM,230,500GM,PLPCH,,1708068223022-hettige food products-hettige #3.png
