MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
SMITHKLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE SOFT 1 NO SAVE 95/=,1.0,NO,1 NO,BRUSH
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA/ PLPCH/ 100GM,100.0,GM,100GM,PLPCH
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA /PLPCH /50GM ,50.0,GM,50GM,PLPCH
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,80.0,ML,80 ML,PLBOT
FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,70.0,GM,70 GM,PLPCH
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,80.0,ML,80 ML,PLBOT
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,400.0,GM,400 GM ,PLPCH
SMITHKLINE BEECHAM PVT LTD,SENSODYNE ,SENSODYNE  SOFT ,1.0,,1,1
SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI/PURE CEYLON TEA/PLPCH,100.0,GM,100 GM,PLPCH
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,30.0,ML,30ML,GBT 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/800/GM/PLPCH /REAL COCONUT MILK POWDER ,800.0,GM,800 GM,PLPCH 
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE /1/ NO/SOFT /SENSITIVE /SAVE RS.95/=,1.0,NO,1 NO,
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE/1 NO /SOFT/SENSITIVE /EFFECTIVE AND GENTLY CLEANING ,1.0,NO,1 NO,
HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION/200 ML/PLBOT,200.0,ML,200 ML,PLBOT
ICL BRANDS (PVT) LTD,SECRETS FLORAL ,SECRETS FLORAL DREAMS COLOGNE SPRAY 30 ML CDBOX 30% OFF,30.0,ML,30 ML,CDBOX
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH / 70 / GM / CDBOX / PURIFING WELLNESS WITH KOHOMBA, PANCHAVALKADI TAILAM AND MINT ",70.0,GM,70 GM,CDBOX 
UNILEVER SRI LANKA LTD,LUX,LUX/ 100 / GM / EWRPK  / SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL  / SAVE 1O,100.0,GM,100 GM,EWRPK 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70  / GM / CDBOX  / GLOWING RADIANCE WITH SANDALWOOD, KUNKUMADI  TAILAM AND SAFFRON ",100.0,GM,100 GM,CDBOX 
UNILEVER SRI LANKA LTD,LUXMI,LUX / 100 / GM  / EWRPK  /  SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL,100.0,GM,100 GM,EWRPK 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70 / GM / CDBOX  / EXFOLIATING WELLNESS WITH VENIVEL, ALMOND OIL AND COCONUT SHELL POWDER ",70.0,GM,70 GM,CDBOX 
FONTERRA BRANDS LANKA (PVT)LTD,RED COW,REDC0OW / 18 / GM / PLPCH  / SUGAR ADDED MILK MIX ,18.0,GM,18 GM,PLPCH 
