CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp,ERROR,SCORE
105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,161.5,20,HL,105,JT INTERNATIONAL - SA,CAMEL CONNECT ORIGINAL,HL 20'S,HL,20,20.0,NO,20.0,161.5,,23.0
105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,239.0,20,HL,105,JT INTERNATIONAL - SA,CAMEL CONNECT MINT CRUSH,HL 20'S,HL,20,20.0,NO,20.0,239.0,,23.0
125,SHREE RAM TOBACCO UDHYOG,BHOLA ,BHOLA EXTRA POWER\7GM\PPH\RS:20\SHREE RAM TOBACCO UDHYOG NEPAL,20.0,7GM,PPH,125,SHREE RAM TOBACCO UDHYOG,BHOLA EXTRA POWER,7G KHAINI,PPH,7G,7.0,GM,7.0,20.0,,20.142857142857142
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 2250ML FREE 250ML MOUNTAIN DEW RS50/-,270.0,2250ML,PET,118,VARUN BEVERAGE -NEPAL,7 UP,PET 2250 ML+250 ML MOUNTAIN DEW FREE,PET,2250.000 ML,2250.0,ML,2250.0,270.0,,16.25
