itemdesc,company,brand,packaging,qty,uomdesc,pack_size
DOMEX ULTRA THICK BLEACH CLASSIC 500 ML (MAGNES),MAGNES (PVT) LTD,DOMEX,,500,ML,500.00 ML
COMEX FRESH TOILET CLENER - LIQUID 500 ML,MULTI CHEMI INTERNATIONAL LTD,COMEX FRESH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) COMOX FRESH FLORAL TOILET BOWL CLEANER 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) COMOX FRESH TOILET BOWL CLEANER 4000 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,4000,ML,4000.00 ML
DASH (MULTI CHEMI INT.) COMOX TUFF 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) COMOX TUFF FAST ACTION TOILET BOWL CLNR 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) COMOX TUFF-TOILET BOWL CLEANER 100 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,100,ML,100.00 ML
DASH (MULTI CHEMI INT.) DISINFECTION CITRUS 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) DISINFECTION FLORAL 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) DISINFECTION LAVENDER 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) DISINFECTION LEVENDER 1000 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,1000,ML,1000.00 ML
DASH (MULTI CHEMI INT.) PINE TOP 2 1000 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,1000,ML,1000.00 ML
DASH (MULTI CHEMI INT.) PINE TOP 2 4000 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,4000,ML,4000.00 ML
TIISOL PYNOL DISINFECTANT 1000 ML,NEW LANKA CHEMICALS,TIISOL,,1000,ML,1000.00 ML
ORIENT PINOL 1000 ML DISINFECTANT,ORIENT INDUSTRIES,ORIENT,,1000,ML,1000.00 ML
PIURA TOILET BOWL CLEANER 10X CLEANING POWER HIGH POWER 500 ML,OXY HOLDING PVT LTD,PIURA,,500,ML,500.00 ML
PIURA TOILET BOWL CLEANER 5X CLEANING POWER 500 ML,OXY HOLDING PVT LTD,PIURA,,500,ML,500.00 ML
SMASH POWER 5+ PLUS DEEP ACTION 500 ML,PLATINUM INDUSTRIES,SMASH,,500,ML,500.00 ML
PRO LIFE TOILET BOWL CLEANER 500 ML,PRO LIFE,PRO LIFE,,500,ML,500.00 ML
RAINBOW PNOL PINE DISINFECTANT 750 ML,RAINBOW DETERGENTS COMPANY (PVT) LTD,RAINBOW,,750,ML,750.00 ML
HARPIC BATHROOM CLEANER-FLORAL 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC BATHROOM CLEANER-LEMON 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC FRESH CITRUS 200 ML PTBOT,RECKITT BENCKISER (LANKA) LTD,HARPIC,,200,ML,200.00 ML
HARPIC FRESH CITRUS 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC FRESH CITRUS 750 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,750,ML,750.00 ML
HARPIC FRESH PINE 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC FRESH FLORAL 200 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,200,ML,200.00 ML
HARPIC FRESH FLORAL 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC FRESH FLORAL 750 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,750,ML,750.00 ML
HARPIC FRESH PINE 200 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,200,ML,200.00 ML
HARPIC FRESH PINE 750 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,750,ML,750.00 ML
HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 200 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,200,ML,200.00 ML
HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 750 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,750,ML,750.00 ML
HARPIC POWER PLUS ORIGINAL 10X 200 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,200,ML,200.00 ML
HARPIC POWER PLUS ORIGINAL 10X 500 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,500,ML,500.00 ML
HARPIC POWER PLUS ORIGINAL 10X 750 ML,RECKITT BENCKISER (LANKA) LTD,HARPIC,,750,ML,750.00 ML
REVOKE TOILET BOWL CLEANER 500 ML,REVOKE DETERGENT COMPANY,REVOKE,,500,ML,500.00 ML
REVOKE VERBIC PETAL TOILET BOWL CLEANER 600 ML,REVOKE DETERGENT COMPANY,VERBIC,,600,ML,600.00 ML
CLASSIC HIGH POWER FLORAL FRESH TOILET CLEANER 300 ML,SENS MARKETING,CLASSIC,,300,ML,300.00 ML
CLASSIC HIGH POWER FRESH TOILET BOWL CLEANER 500 ML,SENS MARKETING,CLASSIC,,500,ML,500.00 ML
CLASSIC HIGH POWER TOILET CLEANER 300 ML,SENS MARKETING,CLASSIC,,300,ML,300.00 ML
CLASSIC LIME FRESH TOILET BOWL CLEANER 500 ML,SENS MARKETING,CLASSIC,,500,ML,500.00 ML
CLASSIC PINE DISINFECTANT 1000 ML,SENS MARKETING,CLASSIC,,1000,ML,1000.00 ML
CLASSIC PINE DISINFECTANT 500 ML,SENS MARKETING,CLASSIC,,500,ML,500.00 ML
SHINE PINE DISNIFECANT 1000 ML (SHINE CHEM),SHINE CHEM HOLDING,SHINE,,1000,ML,1000.00 ML
SUPER CLEAN CLEANING LIQUID 1000 ML PLBOT (SUPER CLEAN PROD.),SUPER CLEAN PRODUCTS,SUPER CLEAN,,1000,ML,1000.00 ML
SUPER CLEAN CLEANING LIQUID 4000 ML (SUPER CLEAN PROD.),SUPER CLEAN PRODUCTS,SUPER CLEAN,,4000,ML,4000.00 ML
SUPER CLEAN LIQUID 600 ML (SUPER CLEAN PROD.),SUPER CLEAN PRODUCTS,SUPER CLEAN,,600,ML,600.00 ML
SUPER HOUSE TOILET CLEANER 300 ML,SUPER HOUSE PRODUCTS,SUPER HOUSE,,300,ML,300.00 ML
SUPER KING PINOL 750 ML DISINFECTANT,SUPER KING,SUPER KING,,750,ML,750.00 ML
SUPER WHITE HEAVY POWER TOILET BLOW CLEANER 300 ML,SUPER WHITE LANKA PVT LTD,SUPER WHITE,,300,ML,300.00 ML
SUPER WHITE HEAVY POWER TOILET BLOW CLEANER 500 ML,SUPER WHITE LANKA PVT LTD,SUPER WHITE,,500,ML,500.00 ML
SUPER WHITE HEAVY POWER TOILET BLOW CLEANER FLORAL FRESH 300 ML,SUPER WHITE LANKA PVT LTD,SUPER WHITE,,300,ML,300.00 ML
SUPER WHITE HEAVY POWER FLORAL FRS 500 ML-SUPER WHITE LANKA PVT LTD,SUPER WHITE LANKA PVT LTD,SUPER WHITE,,500,ML,500.00 ML
SUPER WHITE PINOL BCE DISINFECTANT 1000 ML,SUPER WHITE LANKA PVT LTD,SUPER WHITE,,1000,ML,1000.00 ML
CYTOSOL TOILET BOWL CLEANER RAPID POWER 300 ML,T&A MARKETING (PVT) LTD,CYTOSOL,,300,ML,300.00 ML
TOPRO QUICK POWER TOILET CLEANER 500 ML,TOPRO DETERGENTS,TOPRO,,500,ML,500.00 ML
DOMEX ULTRA THICK BLEACH CLASSIC 500 ML (USL),UNILEVER SRI LANKA LTD,DOMEX,,500,ML,500.00 ML
DOMEX ULTRA THICK BLEACH LEMON EXPLOTION 500 ML (USL),UNILEVER SRI LANKA LTD,DOMEX,,500,ML,500.00 ML
DOMEX ULTRA THICK BLEACH PINK POWER 500 ML (USL),UNILEVER SRI LANKA LTD,DOMEX,,500,ML,500.00 ML
VIZMA TOILET CLEANER 500 ML,VAXO LANKA PVT LTD,VIZMA,,500,ML,500.00 ML
V-MAX TOILET BOWL CLEANER 250 ML,VMAX HOLDING PVT LTD,V-MAX,,250,ML,250.00 ML
KIWI MR MUSCLE (HAYLEYS) DRANEX DRAIN CLEANERS 50 GM,HAYLEYS CONSUMER PRODUCTS LTD,MR MUSCLE,,50,GM,50.00 GM
HARPIC FLUSHMATIC 50 GM,RECKITT BENCKISER (LANKA) LTD,HARPIC,,50,GM,50.00 GM
KIWI KLEEN (SARA LEE) DRANET HD DRAIN CLEANER 375 GM,SARA LEE H & B (LANKA) LTD,KIWI KLEEN,,375,GM,375.00 GM
BRITOL DISH BAR WITH REAL LIME EXTRACT 100 GM,ANTLER INDUSTRIES (PVT) LTD,BRITOL,,100,GM,100.00 GM
BRITOL DISH BAR WITH REAL LIME EXTRACT 200 GM,ANTLER INDUSTRIES (PVT) LTD,BRITOL,,200,GM,200.00 GM
LEEM + REAL LIME DISHWASH 100 GM,CEYLON CONSUMER CARE INDUSTRIES,LEEM +,,100,GM,100.00 GM
DELMA DISH WASH BAR POWER OF 100LIME 100 GM,DELMAR LANKA PVT LTD,DELMA,,100,GM,100.00 GM
CLENOL NEET DISH WASH BAR 70 GM,HERALIYAWELA INDUSTRIES,CLENOL,,70,GM,70.00 GM
NEET DISH WASH BAR 200 GM,HERALIYAWELA INDUSTRIES,NEET,,200,GM,200.00 GM
ALPHA DISH WASH BAR 100 GM (MIN CHEM),MIN CHEM,ALPHA,,100,GM,100.00 GM
DASH (MULTI CHEMI INT.) GLIZ LIME FRESH DISH WASH BAR 100 GM,MULTI CHEMI INTERNATIONAL LTD,DASH,,100,GM,100.00 GM
STAR DETERGENT BAR-REAL LIME FRESH 120 GM (STAR HOLDINGS),STAR HOLDINGS INTERNATIONAL,STAR,,120,GM,120.00 GM
STAR DISH WASH WITH REAL LIME FRESH 200 GM (STAR HOLDINGS),STAR HOLDINGS INTERNATIONAL,STAR,,200,GM,200.00 GM
STAR DISHWASH BAR ORANGE WITH LIME 100 GM (STAR HOLDINGS),STAR HOLDINGS INTERNATIONAL,STAR,,100,GM,100.00 GM
