itemdesc,company,brand,packaging,qty,uomdesc,pack_size
ELEPHANT APPLE SODA-PET 500 ML,CEYLON COLD STORES,ELEPHANT APPLE SODA,PET,500,ML,500.00 ML
CAMEL ASTO-PET 1500 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,1500,ML,1500.00 ML
CAMEL ASTO-PET 400 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,400,ML,400.00 ML
CAMEL ASTO-PET 750 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,750,ML,750.00 ML
ELEPHANT NECTO-CAN 330 ML,CEYLON COLD STORES,ELEPHANT NECTO,CAN,330,ML,330.00 ML
ELEPHANT NECTO-PET 1000 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,1000,ML,1000.00 ML
ELEPHANT NECTO-PET 1500 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,1500,ML,1500.00 ML
ELEPHANT NECTO-PET 2000 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,2000,ML,2000.00 ML
ELEPHANT NECTO-PET 350 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,350,ML,350.00 ML
ELEPHANT NECTO-PET 500 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,500,ML,500.00 ML
ELEPHANT NECTO-RGB 200 ML,CEYLON COLD STORES,ELEPHANT NECTO,RGB,200,ML,200.00 ML
ELEPHANT NECTO-RGB 400 ML,CEYLON COLD STORES,ELEPHANT NECTO,RGB,400,ML,400.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 1000 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,1000,ML,1000.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 2000 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,2000,ML,2000.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 500 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,500,ML,500.00 ML
ELEPHANT NECTO GO SUGAR FREE-RGB 200 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,200,ML,200.00 ML
ELEPHANT NECTO GO SUGAR FREE-RGB 400 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,400,ML,400.00 ML
COOOL NECTELLO-PET 1500 ML,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,1500,ML,1500.00 ML
COOOL NECTELLO-PET 220 ML,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,220,ML,220.00 ML
PORTELLO-PET 2000 ML,COCA-COLA BEVERAGES,PORTELLO,PET,2000,ML,2000.00 ML
PORTELLO-PET 2250 ML,COCA-COLA BEVERAGES,PORTELLO,PET,2250,ML,2250.00 ML
PORTELLO-PET 250 ML,COCA-COLA BEVERAGES,PORTELLO,PET,250,ML,250.00 ML
PORTELLO-PET 400 ML,COCA-COLA BEVERAGES,PORTELLO,PET,400,ML,400.00 ML
PORTELLO-PET 750 ML,COCA-COLA BEVERAGES,PORTELLO,PET,750,ML,750.00 ML
PORTELLO-PET 1050 ML,COCA-COLA BEVERAGES,PORTELLO,PET,1050,ML,1050.00 ML
PORTELLO-PET 1500 ML,COCA-COLA BEVERAGES,PORTELLO,PET,1500,ML,1500.00 ML
PORTELLO-PET 1500 ML (1250 ML + FREE 250 ML),COCA-COLA BEVERAGES,PORTELLO,PET,1500,ML,1500.00 ML
PORTELLO-RGB 300 ML,COCA-COLA BEVERAGES,PORTELLO,RGB,300,ML,300.00 ML
PORTELLO-RGB 175 ML,COCA-COLA BEVERAGES,PORTELLO,RGB,175,ML,175.00 ML
PORTELLO SUGAR FREE-PET 1050 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,1050,ML,1050.00 ML
PORTELLO SUGAR FREE-PET 2000 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,2000,ML,2000.00 ML
PORTELLO SUGAR FREE-PET 250 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,250,ML,250.00 ML
PORTELLO SUGAR FREE-PET 400 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,400,ML,400.00 ML
PORTELLO SUGAR FREE-PET 750 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,750,ML,750.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1500 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,1500,ML,1500.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 750 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,750,ML,750.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1000 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,1000,ML,1000.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO-PET 330 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,330,ML,330.00 ML
ICY NEETOO-PET 350 ML,ICY BEVERAGES,ICY NEETOO,PET,350,ML,350.00 ML
ICY NEETOO-PET 1500 ML,ICY BEVERAGES,ICY NEETOO,PET,1500,ML,1500.00 ML
ICY NEETOO-PET 750 ML,ICY BEVERAGES,ICY NEETOO,PET,750,ML,750.00 ML
ICY NEETOO-PET 750 ML LITE LOW SUGAR,ICY BEVERAGES,ICY NEETOO LITE LOW SUGAR,PET,750,ML,750.00 ML
MAX NECTA-PET 400 ML,MAX BEVERAGES,MAX NECTA,PET,400,ML,400.00 ML
MAX NECTA-PET 1500 ML,MAX BEVERAGES,MAX NECTA,PET,1500,ML,1500.00 ML
MAX NEXTA-PET 1000 ML,MAX BEVERAGES,MAX NEXTA,PET,1000,ML,1000.00 ML
MAX NEXTA-PET 1500 ML,MAX BEVERAGES,MAX NEXTA,PET,1500,ML,1500.00 ML
MAX NEXTA-PET 2000 ML,MAX BEVERAGES,MAX NEXTA,PET,2000,ML,2000.00 ML
MAX NEXTA-PET 375 ML,MAX BEVERAGES,MAX NEXTA,PET,375,ML,375.00 ML
MAX NEXTA-PET 500 ML,MAX BEVERAGES,MAX NEXTA,PET,500,ML,500.00 ML
MAX NEXTA-PET 750 ML,MAX BEVERAGES,MAX NEXTA,PET,750,ML,750.00 ML
MIRAGE ICE PORTESA-PET 350 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,350,ML,350.00 ML
MIRAGE ICE PORTESA-PET 600 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,600,ML,600.00 ML
MIRAGE ICE PORTESA-PET 750 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,750,ML,750.00 ML
MY BERRY-PET 1000 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,1000,ML,1000.00 ML
MY BERRY-PET 1500 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,1500,ML,1500.00 ML
MY BERRY-PET 330 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,330,ML,330.00 ML
MY BERRY-PET 500 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,500,ML,500.00 ML
MY BERRY-PET 750 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,750,ML,750.00 ML
OLE ZINGO-PET 1500 ML,PEPSICO INTERNATIONAL,OLE ZINGO,PET,1500,ML,1500.00 ML
OLE ZINGO-PET 250 ML,PEPSICO INTERNATIONAL,OLE ZINGO,PET,250,ML,250.00 ML
OLE ZINGO-PET 500 ML,PEPSICO INTERNATIONAL,OLE ZINGO,PET,500,ML,500.00 ML
OLE ZINGO-PET 750 ML,PEPSICO INTERNATIONAL,OLE ZINGO,PET,750,ML,750.00 ML
OLE ZINGO-PET 1000 ML,PEPSICO INTERNATIONAL,OLE ZINGO,PET,1000,ML,1000.00 ML
OLE ZINGO-RGB 200 ML,PEPSICO INTERNATIONAL,OLE ZINGO,RGB,200,ML,200.00 ML
LANKA FRUITY -PET 1500 ML,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,1500,ML,1500.00 ML
LANKA FRUITY -PET 850 ML,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,850,ML,850.00 ML
LANKA FRUITY-PET 330 ML,WICHY BEVERAGES (PVT) LTD,LANKA FRUITY,PET,330,ML,330.00 ML
LANKA COLA-PET 330 ML,WICHY BEVERAGES (PVT) LTD,LANKA COLA,PET,330,ML,330.00 ML
KIK COLA-PET 1000 ML,CEYLON COLD STORES,KIK COLA,PET,1000,ML,1000.00 ML
KIK COLA-PET 1500 ML,CEYLON COLD STORES,KIK COLA,PET,1500,ML,1500.00 ML
KIK COLA-PET 500 ML,CEYLON COLD STORES,KIK COLA,PET,500,ML,500.00 ML
KIK COLA-RGB 200 ML,CEYLON COLD STORES,KIK COLA,RGB,200,ML,200.00 ML
7 GB PLBOT 350 ML,CEYLON LION BEVERAGE PVT LTD,7 GB,PET,350,ML,350.00 ML
7 GB PLBOT 750 ML,CEYLON LION BEVERAGE PVT LTD,7 GB,PET,750,ML,750.00 ML
7 NUP PLBOT 1500 ML,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,1500,ML,1500.00 ML
7 NUP PLBOT 330 ML,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,330,ML,330.00 ML
7 NUP PLBOT 750 ML,CEYLON LION BEVERAGE PVT LTD,7 NUP,PET,750,ML,750.00 ML
COCA-COLA-CAN 300 ML,COCA-COLA BEVERAGES,COCA-COLA,CAN,300,ML,300.00 ML
COCA-COLA-PET 1250 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,1250,ML,1250.00 ML
COCA-COLA-PET 1500 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,1500,ML,1500.00 ML
COCA-COLA-PET 2000 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,2000,ML,2000.00 ML
COCA-COLA-PET 2250 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,2250,ML,2250.00 ML
COCA-COLA-PET 250 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,250,ML,250.00 ML
COCA-COLA-PET 400 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,400,ML,400.00 ML
COCA-COLA-PET 750 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,750,ML,750.00 ML
COCA-COLA-PET 1050 ML,COCA-COLA BEVERAGES,COCA-COLA,PET,1050,ML,1050.00 ML
COCA-COLA-RGB 175 ML,COCA-COLA BEVERAGES,COCA-COLA,RGB,175,ML,175.00 ML
COCA-COLA-RGB 300 ML,COCA-COLA BEVERAGES,COCA-COLA,RGB,300,ML,300.00 ML
COCA-COLA LIGHT-PET 400 ML,COCA-COLA BEVERAGES,COCA-COLA LIGHT,PET,400,ML,400.00 ML
COCA-COLA ZERO-PET 1050 ML,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,1050,ML,1050.00 ML
COCA-COLA ZERO-PET 2000 ML,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,2000,ML,2000.00 ML
COCA-COLA ZERO-PET 250 ML,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,250,ML,250.00 ML
COCA-COLA ZERO-PET 400 ML,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,400,ML,400.00 ML
COCA-COLA ZERO-PET 750 ML,COCA-COLA BEVERAGES,COCA-COLA ZERO,PET,750,ML,750.00 ML
COOL & COOL (E I & M PVT LTD) COLA-PET 330 ML,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,330,ML,330.00 ML
COOL & COOL (E I & M PVT LTD) COLA-PET 350 ML,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,350,ML,350.00 ML
COOL & COOL (E I & M PVT LTD) COLA-PET 750 ML,E I & M (PRIVATE) LTD,COOL & COOL COLA,PET,750,ML,750.00 ML
ICY COLA-PET 350 ML,ICY BEVERAGES,ICY COLA,PET,350,ML,350.00 ML
ICY COLA-PET 1500 ML,ICY BEVERAGES,ICY COLA,PET,1500,ML,1500.00 ML
ICY COLA-PET 750 ML,ICY BEVERAGES,ICY COLA,PET,750,ML,750.00 ML
MAX COLA -PET 750 ML,MAX BEVERAGES,MAX COLA,PET,750,ML,750.00 ML
MAX COLA-PET 1000 ML,MAX BEVERAGES,MAX COLA,PET,1000,ML,1000.00 ML
MAX COLA-PET 1500 ML,MAX BEVERAGES,MAX COLA,PET,1500,ML,1500.00 ML
MAX COLA-PET 375 ML,MAX BEVERAGES,MAX COLA,PET,375,ML,375.00 ML
MAX COLA NO SUGAR -PET 750 ML,MAX BEVERAGES,MAX COLA NO SUGAR,PET,750,ML,750.00 ML
MIRAGE ICE COLA-PET 1000 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,1000,ML,1000.00 ML
MIRAGE ICE COLA-PET 1500 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,1500,ML,1500.00 ML
MIRAGE ICE COLA-PET 350 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,350,ML,350.00 ML
MIRAGE ICE COLA-PET 600 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,600,ML,600.00 ML
MIRAGE ICE COLA-PET 750 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE COLA,PET,750,ML,750.00 ML
MY COLA-PET 750 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA,PET,750,ML,750.00 ML
MY COLA-PET 330 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA,PET,330,ML,330.00 ML
MY COLA ZERO-PET 330 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY COLA ZERO,PET,330,ML,330.00 ML
PEPSI BLACK ZERO-PET 500 ML,PEPSICO INTERNATIONAL,PEPSI BLACK ZERO,PET,500,ML,500.00 ML
PEPSI BLACK ZERO-RGB 200 ML,PEPSICO INTERNATIONAL,PEPSI BLACK ZERO,RGB,200,ML,200.00 ML
PEPSI-CAN 300 ML,PEPSICO INTERNATIONAL,PEPSI,CAN,300,ML,300.00 ML
PEPSI-PET 1000 ML,PEPSICO INTERNATIONAL,PEPSI,PET,1000,ML,1000.00 ML
PEPSI-PET 1500 ML,PEPSICO INTERNATIONAL,PEPSI,PET,1500,ML,1500.00 ML
PEPSI-PET 2000 ML,PEPSICO INTERNATIONAL,PEPSI,PET,2000,ML,2000.00 ML
PEPSI-PET 250 ML,PEPSICO INTERNATIONAL,PEPSI,PET,250,ML,250.00 ML
PEPSI-PET 330 ML,PEPSICO INTERNATIONAL,PEPSI,PET,330,ML,330.00 ML
PEPSI-PET 345 ML,PEPSICO INTERNATIONAL,PEPSI,PET,345,ML,345.00 ML
PEPSI-PET 500 ML,PEPSICO INTERNATIONAL,PEPSI,PET,500,ML,500.00 ML
PEPSI-PET 750 ML,PEPSICO INTERNATIONAL,PEPSI,PET,750,ML,750.00 ML
PEPSI-RGB 200 ML,PEPSICO INTERNATIONAL,PEPSI,RGB,200,ML,200.00 ML
PEPSI-RGB 207 ML,PEPSICO INTERNATIONAL,PEPSI,RGB,207,ML,207.00 ML
PEPSI-RGB 300 ML,PEPSICO INTERNATIONAL,PEPSI,RGB,300,ML,300.00 ML
LANKA COLA-PET 850 ML,WICHY BEVERAGES (PVT) LTD,LANKA COLA,PET,850,ML,850.00 ML
LIP SIP COLA -PET 250 ML,KEMAAR INTERNATIONAL PVT LTD,LIP SIP COLA,PET,250,ML,250.00 ML
LIP SIP FRUIT BEER-PET 250 ML,KEMAAR INTERNATIONAL PVT LTD,LIP SIP FRUIT BEER,PET,250,ML,250.00 ML
CAMEL GINGER BEER-PET 400 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL GINGER BEER,PET,400,ML,400.00 ML
KIST KIZZ 215 ML CAN SPARKLING GINGER DRINK,CPC AGRO FOODS (PVT) LTD,KIST KIZZ GINGER,CAN,215,ML,215.00 ML
ELEPHANT (EGB) GINGER BEER LIGHT LIGHT-PET 500 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER LIGHT,PET,500,ML,500.00 ML
ELEPHANT DRY GINGER ALE-PET 500 ML,CEYLON COLD STORES,ELEPHANT DRY GINGER ALE,PET,500,ML,500.00 ML
ELEPHANT DRY GINGER ALE-RGB 400 ML,CEYLON COLD STORES,ELEPHANT DRY GINGER ALE,RGB,400,ML,400.00 ML
ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-PET 1000 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,PET,1000,ML,1000.00 ML
ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-PET 2000 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,PET,2000,ML,2000.00 ML
ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-PET 500 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,PET,500,ML,500.00 ML
ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-RGB 200 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,RGB,200,ML,200.00 ML
ELEPHANT (EGB) GINGER BEER GO SUGAR FREE-RGB 400 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER GO SUGAR FREE,RGB,400,ML,400.00 ML
ELEPHANT (EGB) GINGER BEER -CAN 330 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,CAN,330,ML,330.00 ML
ELEPHANT (EGB) GINGER BEER -PET 1000 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,PET,1000,ML,1000.00 ML
ELEPHANT (EGB) GINGER BEER -PET 1500 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,PET,1500,ML,1500.00 ML
ELEPHANT (EGB) GINGER BEER -PET 2000 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,PET,2000,ML,2000.00 ML
ELEPHANT (EGB) GINGER BEER -PET 500 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,PET,500,ML,500.00 ML
ELEPHANT (EGB) GINGER BEER -RGB 200 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,RGB,200,ML,200.00 ML
ELEPHANT (EGB) GINGER BEER -RGB 400 ML,CEYLON COLD STORES,ELEPHANT GINGER BEER,RGB,400,ML,400.00 ML
COOOL GINGER LEMON BUZZ-PET 350 ML,COOL & COOL ASIA (PVT) LTD,COOOL GINGER LEMON BUZZ,PET,350,ML,350.00 ML
LION GINGER BEER-PBT 1050 ML,COCA-COLA BEVERAGES,LION GINGER BEER,PET,1050,ML,1050.00 ML
LION GINGER BEER-PET 250 ML,COCA-COLA BEVERAGES,LION GINGER BEER,PET,250,ML,250.00 ML
LION GINGER BEER-PET 400 ML,COCA-COLA BEVERAGES,LION GINGER BEER,PET,400,ML,400.00 ML
LION GINGER BEER-RGB 300 ML,COCA-COLA BEVERAGES,LION GINGER BEER,RGB,300,ML,300.00 ML
LION GINGER BEER SUGAR FREE-PET 250 ML,COCA-COLA BEVERAGES,LION GINGER BEER SUGAR FREE,PET,250,ML,250.00 ML
LION GINGER BEER SUGAR FREE-PET 400 ML,COCA-COLA BEVERAGES,LION GINGER BEER SUGAR FREE,PET,400,ML,400.00 ML
COOL & COOL (E I & M PVT LTD) GINGER LEMON BUZZ-PET 330 ML,E I & M (PRIVATE) LTD,COOL & COOL GINGER LEMON BUZZ,PET,330,ML,330.00 ML
COOL & COOL (E I & M PVT LTD) GINGER LEMON BUZZ-PET 750 ML,E I & M (PRIVATE) LTD,COOL & COOL GINGER LEMON BUZZ,PET,750,ML,750.00 ML
ICY GINGER BEER-PET 350 ML,ICY BEVERAGES,ICY GINGER,PET,350,ML,350.00 ML
ICY GINGER BEER-PET 750 ML,ICY BEVERAGES,ICY GINGER,PET,750,ML,750.00 ML
MAX GINGER BEER-PET 375 ML,MAX BEVERAGES,MAX GINGER BEER,PET,375,ML,375.00 ML
MAX GINGER BEER-PET 250 ML,MAX BEVERAGES,MAX GINGER BEER,PET,250,ML,250.00 ML
MAX GINGER BEER SUGAR FREE-PET 375 ML,MAX BEVERAGES,MAX GINGER BEER SUGAR FREE,PET,375,ML,375.00 ML
MIRAGE ICE GBL-PET 350 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE GBL,PET,350,ML,350.00 ML
MIRAGE ICE GBL-PET 750 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE GBL,PET,750,ML,750.00 ML
MY GINGER-PET 750 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY GINGER,PET,750,ML,750.00 ML
OLE GINGER BEER-PET 1000 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,1000,ML,1000.00 ML
OLE GINGER BEER-PET 250 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,250,ML,250.00 ML
OLE GINGER BEER-PET 330 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,330,ML,330.00 ML
OLE GINGER BEER-PET 345 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,345,ML,345.00 ML
OLE GINGER BEER-PET 500 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,500,ML,500.00 ML
OLE GINGER BEER-PET 750 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,PET,750,ML,750.00 ML
OLE GINGER BEER-RGB 200 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,RGB,200,ML,200.00 ML
OLE GINGER BEER-RGB 400 ML,PEPSICO INTERNATIONAL,OLE GINGER BEER,RGB,400,ML,400.00 ML
LANKA GINGER BEER-PET 330 ML,WICHY BEVERAGES (PVT) LTD,LANKA GINGER BEER,PET,330,ML,330.00 ML
CAMEL CREAM SODA-PET 1500 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL CREAM SODA,PET,1500,ML,1500.00 ML
CAMEL CREAM SODA-PET 400 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL CREAM SODA,PET,400,ML,400.00 ML
CAMEL CREAM SODA-PET 750 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL CREAM SODA,PET,750,ML,750.00 ML
ELEPHANT CREAM SODA-CAN 330 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,CAN,330,ML,330.00 ML
ELEPHANT CREAM SODA-PET 1000 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,PET,1000,ML,1000.00 ML
ELEPHANT CREAM SODA-PET 1500 ML + (1000ML + FREE 500 ML ),CEYLON COLD STORES,ELEPHANT CREAM SODA,PET,1500,ML,1500.00 ML
ELEPHANT CREAM SODA-PET 1500 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,PET,1500,ML,1500.00 ML
ELEPHANT CREAM SODA-PET 2000 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,PET,2000,ML,2000.00 ML
ELEPHANT CREAM SODA-PET 500 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,PET,500,ML,500.00 ML
ELEPHANT CREAM SODA-RGB 200 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,RGB,200,ML,200.00 ML
ELEPHANT CREAM SODA-RGB 400 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA,RGB,400,ML,400.00 ML
ELEPHANT CREAM SODA GO SUGAR FREE-PET 1000 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA GO SUGAR FREE,PET,1000,ML,1000.00 ML
ELEPHANT CREAM SODA GO SUGAR FREE-PET 2000 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA GO SUGAR FREE,PET,2000,ML,2000.00 ML
ELEPHANT CREAM SODA GO SUGAR FREE-PET 500 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA GO SUGAR FREE,PET,500,ML,500.00 ML
ELEPHANT CREAM SODA GO SUGAR FREE-RGB 200 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA GO SUGAR FREE,RGB,200,ML,200.00 ML
ELEPHANT CREAM SODA GO SUGAR FREE-RGB 400 ML,CEYLON COLD STORES,ELEPHANT CREAM SODA GO SUGAR FREE,RGB,400,ML,400.00 ML
7 CREAM SODA-PET 1500 ML,CEYLON LION BEVERAGE PVT LTD,7 CREAM SODA,PET,1500,ML,1500.00 ML
7 CREAM SODA-PET 350 ML,CEYLON LION BEVERAGE PVT LTD,7 CREAM SODA,PET,350,ML,350.00 ML
7 CREAM SODA-PET 750 ML,CEYLON LION BEVERAGE PVT LTD,7 CREAM SODA,PET,750,ML,750.00 ML
7 NECTOO -PET 1500 ML,CEYLON LION BEVERAGE PVT LTD,7 NECTOO,PET,1500,ML,1500.00 ML
7 NECTOO -PET 350 ML,CEYLON LION BEVERAGE PVT LTD,7 NECTOO,PET,350,ML,350.00 ML
7 NECTOO -PET 750 ML,CEYLON LION BEVERAGE PVT LTD,7 NECTOO,PET,750,ML,750.00 ML
7 SODA-PET 350 ML,CEYLON LION BEVERAGE PVT LTD,7 SODA,PET,350,ML,350.00 ML
7 SODA-PET 750 ML,CEYLON LION BEVERAGE PVT LTD,7 SODA,PET,750,ML,750.00 ML
COOOL CREAM SODA -PET 1000 ML,COOL & COOL ASIA (PVT) LTD,COOOL CREAM SODA,PET,1000,ML,1000.00 ML
COOOL CREAM SODA-PET 220 ML,COOL & COOL ASIA (PVT) LTD,COOOL CREAM SODA,PET,220,ML,220.00 ML
FANTA CREAM SODA -RGB 175 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,RGB,175,ML,175.00 ML
FANTA CREAM SODA-PET 1050 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,1050,ML,1050.00 ML
FANTA CREAM SODA-PET 1500 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,1500,ML,1500.00 ML
FANTA CREAM SODA-PET 1500 ML (1250 ML + FREE 250 ML),COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,1500,ML,1500.00 ML
FANTA CREAM SODA-PET 2000 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,2000,ML,2000.00 ML
FANTA CREAM SODA-PET 2250 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,2250,ML,2250.00 ML
FANTA CREAM SODA-PET 250 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,250,ML,250.00 ML
FANTA CREAM SODA-PET 400 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,400,ML,400.00 ML
FANTA CREAM SODA-PET 750 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,PET,750,ML,750.00 ML
FANTA CREAM SODA-RGB 300 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA,RGB,300,ML,300.00 ML
FANTA CREAM SODA SUGAR FREE-PET 1050 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA SUGAR FREE,PET,1050,ML,1050.00 ML
FANTA CREAM SODA SUGAR FREE-PET 2000 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA SUGAR FREE,PET,2000,ML,2000.00 ML
FANTA CREAM SODA SUGAR FREE-PET 250 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA SUGAR FREE,PET,250,ML,250.00 ML
FANTA CREAM SODA SUGAR FREE-PET 400 ML,COCA-COLA BEVERAGES,FANTA CREAM SODA SUGAR FREE,PET,400,ML,400.00 ML
