MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,180,ML,180ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,200,ML,200ML,PBT,1,,,,,,,,
HARUMI HOLDINGS (PVT) LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,180,ML,180ML,PBT,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,1,,,,,,,,
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH,1,,,,,,,,
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS\14\GM\PLPCH\PAPER STICK COLA FLAVOUR BUBBLE GUM FILLED LOLLIPOP,14,GM,14GM,PLPCH,1,,,,,,,,
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT FLORAL FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT,1,,,,,,,,
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT AQUA FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT,1,,,,,,,,
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000,1,,,,,,,,
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH,SUN RICH/35/GM/PLPCH/VANILLA DOUBLE CREAM WAFERS,35,GM,35GM,PLPCH,1,,,,,,,,
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH CHOCOLATE CREAMY WAFERS,SUN RICH/35/GM/PLPCH/CHOCOLATE DOUBLE CREAM WAFERS,35,GM,35GM,PLPCH,1,,,,,,,,
HAYLEYS CONSUMER PRODUCTS LTD,OLAY,OLAY/50/GM/CDBOX/NATURAL AURA 7 IN ONE NIGHT NOURISHING REPAIR CREAM,50,GM,50GM,CDBOX,1,,,,,,,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.62
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/75/GM/CDBOX/ALMOND OIL, VITAMIN E & MILK BABY SOAP BUY 5 SAVE AS 45 RS",375,GM,375GM,CDBOX,0,"BABY CHERAMY ALMOND OIL,VITAMIN E,MILK BABY SOAP CDBOX (75*5) 375 GM + SAVE RS 44",HEMAS MARKETING,BABY CHERAMY,CDBOX,375,GM,375.00 GM,0.72
HAYLEYS CONSUMER PRODUCTS LTD,WHISPER,WHISPER/15/NO/PLPCH/ULTRA CLEAN XL 3 SMART LAYERS BUY 2 GET 1 FREE,15,NO,15NO,PLPCH,1,,,,,,,,
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,SO SOFT/10/NO/PLPCH/COTTON FEEL WINGS SANITARY NAPKINS,10,NO,10NO,PLPCH,1,,,,,,,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYURVEDA SOAP,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.62
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA ORANGE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,1,,,,,,,,
JS PRODUCTS,PRITE,PRITE/330/ML/PBT,330,ML,330ML,PBT,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST,10000,10000,75/G,PLPCH,1,,,,,,,,
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/KIWI BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/ORANGE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/GRAPE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON CONFECTIONERY WORKS PVT LTD,VONKA,VONKA (CEYLON CONFECTIONERY)CHOCO MAGIC/45/GM/EWRP,45,GM,45GM,EWRP,1,,,,,,,,
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST INSTANT NOODLES,10000,10000,75 GM,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/490/GM/PLPCH/SUPER CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH,1,,,,,,,,
DG PRODUCTS,D&G,D&G/50/GM/PLPCH/CHILLI PIECES,10000,10000,50 GM,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/GM/PLPCH/CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH,1,,,,,,,,
COUNTRY STYLE FOODS,SMAK,SMAK APEMA KAHATA TEA 200,200,GM,200GM,PLPCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500ML FREE DIVA FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER 200GM,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + FREE TOILET BRUSH,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.67
UNILEVER SRI LANKA LTD,PEARS,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM,140,GM,140GM,CDBOX,1,,,,,,,,
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE,MUNCHEE KOME BITES SWEET MASALA FLAVOUR 15GM,10000,10000,SWEET MASALA,PLPCH,1,,,,,,,,
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE,MUNCHEE KOME BITES CHEESE CHILLI FLAVOUR 15GM,15,GM,15GM,PLPCH,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/VANILLA/400 GM/TIN/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/CDBOX,10000,10000,400 GM,TIN,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/CHOCOLATE/400 GM/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/TIN,10000,10000,400 GM,TIN,1,,,,,,,,
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET,1,,,,,,,,
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PET/ORIGINAL /FREE DIVA ROSE 200G,500,ML,500ML,PET,1,,,,,,,,
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH/50/G/PLPCH/KIT-O CREAM BISCUT STRAWBERRY FLAVOURED,50,GM,50G,PLPCH,1,,,,,,,,
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH,1,,,,,,,,
ROYAL PRODUCTS,ROYAL,ROYAL GAMBOGE CREAM 100 GM,10000,10000,100 GM,PLCUP,1,,,,,,,,
THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA/100/ML/PLPCH/JAFFNA CURRY POWDER,100,GM,100GM,PLPCH,0,MIHIKATHA CURRY POWDER 100 GM PLPCH,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,PLPCH,100,GM,100.00 GM,0.57
WONRICH DAIRY PVT LTD,WONRICH,WONRICH/75/GM/PLCUP/SET YOGHURT,75,GM,75GM,PLCUP,1,,,,,,,,
MY COOL LANKA PVT LTD,MY COOL FRUTO,MY COOL FRUTO/185/ML/PLCUP/GRAPE FLAVOURED DRINK,185,ML,185ML,PLCUP,1,,,,,,,,
CHERISH BISCUIT (PVT) LTD,CHERISH CREAM WAFERS,CHERISH/30/GM/PLPCH/LEMON CREAM WAFERS,30,GM,30G,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,1,,,,,,,,
CARGILLS QUALITY DAIRIES (PVT) LTD,KIST NIYAMA CREAM CRACKER,KIST/500/G/PLPCH/NIYAMA CREAM CRACKER SAVE RS 60,500,GM,500G,PLPCH,0,KIST NIYAMA CREAM CRACKER 500 GM + SAVE RS 20,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST NIYAMA CREAM CRACKER,PLPCH,500,GM,500.00 GM,0.73
