MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/SEAFOOD FLAVOUR,50,GM,50GM,PLPCH,1,,,,,,,,
SUNSHINE COUNSUMER LANKA LTD,DAINTEE X-TRA,DAINTEE X-TRA/3/GM/1/NO/FRESH CENTERE FILLED BUBBLE GUM STRAWBERRY,3,GM,3GM,10000,1,,,,,,,,
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CHICKEN FLAVOUR,50,GM,50GM,PLPCH,1,,,,,,,,
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CURRY FLAVOUR,50,GM,50GM,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH,1,,,,,,,,
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE/40/CR/PAGES/ CR BOOK,40,PAGES,40PAGES,BOOK,1,,,,,,,,
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH,1,,,,,,,,
ICL MARKETING,REBECCA LEE BABY,REBECALEE/70G*5/CD BOX/CASSIC /SAVE 50/=,70,GM,70G*5,CD BOX,1,,,,,,,,
STAR KING,STAR KING,STAR KING / 60 / ML / PLBOT / CLORAEX,10000,10000,60 ML,PLBOT,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH,1,,,,,,,,
CBL FOODS INTERNATIONAL (PVT)LTD,RITZBURY CHOCO-LA,RITZBURY/25G/PLPCH/CHOCO- LA MILK CHOCO,25,GM,25G,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH,1,,,,,,,,
IMPORTED,ROKAF,"ROKAF/1NO/ POUCH/ 9"" PAINT ROLLER",1,NO,1NO,POUCH,1,,,,,,,,
STAR PAINT INDUSTRIES,STARLAC,STARLAC/ 200ML/ TIN/ VARNISH,200,ML,200ML,TIN,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,TIARA,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX,1,,,,,,,,
CEYLON BISCUITS LIMITED,TIARA,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX,1,,,,,,,,
LAKSIRI ENTERPRISES,LAKSIRI,LAKSIRI /400/GM/PLPCH/ NOODLES,400,GM,400GM,PLPCH,1,,,,,,,,
HEMAS MARKETING,FEMS,FEMS/2/NO/PLPCH/COTTON FEEL WINGS FIT TO BODY/15/- SAVE,2,NO,2NO,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000,1,,,,,,,,
CARGILLS FOOD & BEVERAGE LIMITED,KIST,KIST/250/ML/TIN/SPARKLING/ORANGE FLAVOURED DRINK,10000,10000,250 ML,TIN,1,,,,,,,,
CARGILLS FOOD & BEVERAGE LIMITED,KIST,KIST/250/ML/TIN/SPARKLING/STRAWBERRY FLAVOURED DRINK,10000,10000,250 ML,TIN,1,,,,,,,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/50/ML/CDBOX/KOHOMBA AND VENIVEL BABY COLOGNE,10000,10000,50 ML,CDBOX,1,,,,,,,,
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/1000/ML/PLCAN/NC THINNER,1000,ML,1000ML,PLCAN,1,,,,,,,,
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/2000/ML/PLCAN/NC THINNER,2000,ML,2000ML,PLCAN,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
MAAM BISCUITS LANKA (PVT) LTD,MALIBAN,MALIBAN/490/G/PLPCH/CREAM CRACKER FAMILY PACK SEASONAL OFFER R.S.60,490,GM,490G,PLPCH,1,,,,,,,,
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/25 GM/CDBOX,10000,10000,25 GM,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/50 GM/CDBOX,10000,10000,50 GM,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY/350G(70G*5)/CDBOX/ACTIVE FLORAL FREE PEARS BABY BED TIME CHOOTY PACK 70G SAVE RS 45.00,350,GM,350G(70*5),CDBOX,0,PEARS ACTIVE FLORAL BABY SOAP WITH MOISTURE CREAM CDBOX (70*5) 350 GM + SAVE RS 45,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,350,GM,350.00 GM,0.53
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ GRAPE BURST / CAN,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ KIWI BURST / CAN,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ APPLE BURST / CAN,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE / ORANGE BURST /250ML/ CAN,250,ML,250ML,CAN,1,,,,,,,,
ALOIS ENTERPRISES,ALOIS,ALOIS\750\ML\GBT\SUPER HIGH GLOSS NC THINNER,750,ML,750ML,GBT,1,,,,,,,,
ALOIS ENTERPRISES,ALOIS,ALOIS\2\L\PL CAN\WOOD PRESERVATIVE CLEAR,2,LTR,2L,PL CAN,1,,,,,,,,
ALOIS ENTERPRISES,ALOIS,ALOIS\180\ML\GBT\SUPER HIGH GLOSS NC THINNER,180,ML,180ML,GBT,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/NO-1/POWER PLUS 10X ORIGNAL/FREE DIVA ROS3 & LIME,500,ML,500ML,PBT,1,,,,,,,,
CAVINKARE PRIVATE LIMITED,MEERA,MEERA/80/ML/PLBOT/HAIR FALL CARE SHAMPOO/SHIKAKAI & BADAM,10000,10000,80 ML,PLBOT,1,,,,,,,,
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES VANILLA WAFERS,200,GM,200GM,PLPCH,1,,,,,,,,
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES CHOCOLATE WAFERS/USWATTE GOLDEN BISCUITS,200,GM,200GM,PLPCH,1,,,,,,,,
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH / STRAWBERRY WAFERS,200,GM,200GM,PLPCH,1,,,,,,,,
LAKLIGHTS PRODUCTS,LAKLIGHTS,LAKLIGHT/50/GM/PLPCH/VEGETABLE FLV SOYA MEAT,50,GM,50GM,PLPCH,0,LAKLIGHTS CHICKEN SOYA MEAT 50 GM,LAKLIGHTS PRODUCTS,LAKLIGHTS,PLPCH,50,GM,50.00 GM,0.55
A BAUR& CO.PVT LTD,PARACHUTE,PARACHUTE/180/ML/PBT/HAIR FALL CONTROL/WITH COCONUT & GOTUKOLA,1080,ML,1080ML,PBT,1,,,,,,,,
AMILA PRODUCTS,AMILA,AMILA/100/G/PLUPCH/ROASTED CURRY POWDER,100,GM,100G,PLUPCH,1,,,,,,,,
A BAUR& CO.PVT LTD,PARACHUTE,PARACHUTE/180/ML/PBT/DAMAGE REPAIR /WITH COCONUT & PERA KOLA,180,ML,180ML,PBT,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL/70*4/GM/EWRPK/UP TO 5C COOLING SENSATION+FREE HARPIC/200/ML/PLBT/POWER PLUS 10,70,GM,70GM*4,EWRPK,1,,,,,,,,
SOLA CHEMICAL CO (PVT) LTD,SOLA,SOLA/500/ML/PLBT/NEW REAL MOPPER DISINFECTANT SURFACE CLEANER LEMON,500,ML,500ML,PLBT,1,,,,,,,,
SOLA CHEMICAL CO (PVT) LTD,SOLA,SOLA/500/ML/PLBT/NEW REAL MOPPER DISINFECTANT SURFACE CLEANER LAVENDER,500,ML,500ML,PLBT,1,,,,,,,,
NETHMI CONFECTIONERY,SHEHARA,SHEHARA/CHOCOLATE/OPERA/ICING/CAKE/900 GM/CDBOX,10000,10000,900 GM,CDBOX,1,,,,,,,,
NETHMI CONFECTIONERY,SHEHARA,SHEHARA/VANILA/GENOISE/VANILA/FLAVOURED/ICING/CAKE/900/GM/CDBOX,10000,10000,900 GM,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/2 IN 1 CLEAN & CITRUS/FRESH/1000 GM/PLPCH,10000,10000,1000 GM,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI CLASSIC,MAGGI /75G/POCH /PAPARE BLAST/,75,GM,75G,POCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH,1,,,,,,,,
KITCHEN DAIYA PRODUCT,KITCHEN DAIYA,KITCHEN /DAYY/100G/POCH PACK /CHIILLE POWDER,100,GM,100G,POCH,1,,,,,,,,
RHD ENTERPRISES (PVT) LTD,RHD,"RHD/2.5/""/POLYTHENE COVER /PAINT BRUSH, ALL PAINTS",10000,10000,"2.5""",POLYTHENE COVER,1,,,,,,,,
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/PARADISE FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN,1,,,,,,,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYUVEDA SOAP,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.6
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC /500/ML/PLBOT/POWER PLUS 10X AADVANCED ORIGINAL / FREE DIVA ROSE FREESH 200GM,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + FREE TOILET BRUSH,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.55
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/ VENIVEL AYURVEDA SOAP,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.61
SUPIRI LANKA PRODUCTS,SUPIRI LANKA,SUPIRI LANKA/190/ML/PLCUP/ORANGE FLAVOURED DRINK,190,ML,190ML,PLCUP,1,,,,,,,,
COCA-COLA BEVERAGES,SPRITE,SPRITE/1500/ML/PBT/SAVE 40,1500,ML,1500ML,PBT,1,,,,,,,,
COCA-COLA BEVERAGES,COCA-COLA,COCA-COLA/1500/ML/PBT/SAVE 40,1500,ML,1500ML,PBT,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH,1,,,,,,,,
PREMIUM WATER LANKA (PVT) LTD,CATCHY,CATCHY CEYLON DRINKIG WATER 500 ML,10000,10000,500 ML,PLBOT,1,,,,,,,,
NEW MIDLEY LANKA MILK PRODUCTS,MIDLEY,MIDLEY FALUDA DRINK 200 ML PET,10000,10000,200 ML,PET,1,,,,,,,,
MALLIKA DAIRY PRODUCTS,MALLIKA,MALLIKA MIXED FRUIT DRINK 200 ML PET,10000,10000,200 ML,PET,1,,,,,,,,
MALLIKA DAIRY PRODUCTS,MALLIKA,MALLIKA CHOCOLATE FLAVOURED MILK DRINK 200 ML PET,10000,10000,200 ML,PET,1,,,,,,,,
MALLIKA DAIRY PRODUCTS,MALLIKA,MALLIKA MIXED FRUIT DRINK 200 ML PET,10000,10000,200 ML,PET,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/NUTRITION SUPPLEMENTS CHOCOLATEFLAVOURED/FREE LIPTON TEA PACK(LIPTON YELLOW LABEL 40/GM/20 TEA BAGS),400,GM,400GM,TIN,0,SUSTAGEN NUTRITIONAL SUPPLEMENT- CHOCOLATE 400 GM TIN,HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,TIN,400,GM,400.00 GM,0.52
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY BABYSOAP/5 * 75(375)/GM/CD BOX/ALMOND OIL , VITAMIN E & MILK/SAVE RS.45",10000,10000,5 * 75(375)GM,CD BOX,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/NUTRITION SUPPLEMENTS VANILLA FLAVOURED/(FREE LIPTON TEA PACK LIPTON YELLOW LABEL 40/GM/20 TEA BAGS),400,GM,400GM,TIN,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/HERBAL COLOGNE NEEM & TURMERIC/GLBOT,100,ML,100ML,GLBOT,1,,,,,,,,
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,NEW ARRIVAL SO SOFT/10/PADS/PLPCH/EVERY GIRLS TRUST COTTON FEEL WINGS SANITARY NAPKINS.,10,PADS,10PADS,PLPCH,1,,,,,,,,
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,NEW ARRIVAL SO SOFT/10/PADS/PLPCH/EVERY GIRLS TRUST DRYTEX WINGS SANITARY NAPKINS.,10,PADS,10PADS,PLPCH,1,,,,,,,,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",140,GM,140GM(110G×30G),CDB,1,,,,,,,,
MACLIMUM FMCG (PVT) LTD,MAAM CHOCOLATE CREAM,MAAM CHOCOLATE CREAM/90/GM/PLPCH,90,GM,90GM,PLPCH,1,,,,,,,,
LELAN MARKETING,SHINE MAX CLOREX,SHINE MAX CLOREX/100/ML/PBT,100,ML,100ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,RIN,RIN/2000(1KG×2)/GM/PLPCH/REFRESH LEMON & ROSE/FREE/BUCKET/1NO,2000,GM,2000GM(1KG×2),PLBUCKET,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH CITRUS/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER,500,ML,500ML,PBT,1,,,,,,,,
BAKTHI HERBAL LANKA (PVT) LTD,PRO FIX,PRO FIX/3/GM/SUPER GLUE,3,GM,3GM,10000,1,,,,,,,,
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH PINE/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER,500,ML,500ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,SIGNAL STRONG TEETH,SIGNAL STRONG TEETH/160/GM/MAX CAVITY PROTECTION & STRONGER ENAMEL/FREE/SIGNAL/1/NO/TRIPLE CLEAN MEDIUM TOOTH BRUSH,160,GM,160GM,10000,1,,,,,,,,
MANCHESTER FOODS (PVT) LTD,MAAM BANANA CREAM,MAAM BANANA CREAM/360/GM/PLPCH,360,GM,360GM,PLPCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/POWER PLUS 10X ADVANCED ORIGINAL/SAVE RS. 50/=,500,ML,500ML,PBT,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH FLORAL/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER,500,ML,500ML,PBT,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK,1,,,,,,,,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE \200\G\POUCH\FULL CREAM MILK POWDER,200,GM,200G,POUCH,1,,,,,,,,
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN MALT,MALIBAN MALT\400\G\POUCH \+FREE MALIBAN GOLD TEA BOPF 50G POUCH,400,GM,400G,POUCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER,MALIBAN\490\G\PLPCH \CREAM CRACKER FAMILY PACK SAVE R.S 60,490,GM,490G,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE,"MUNCHEE/490/GM/PLPCH/SUPER CREAM CRACKER, ENRICHED WITH VITAMINS, SAVE RS 60",490,GM,490GM,PLPCH,1,,,,,,,,
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER. SAVE RS 20,200,GM,200GM,CDBOX,0,MALIBAN KIRI FULL CREAM MILK POWDER 200 GM CDBOX + SAVE RS 30,MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,CDBOX,200,GM,200.00 GM,0.67
NATURE'S BEAUTY CREATIONS LTD,MISUMI,"MISUMI/65/GM/CDBOX/ KIYO,  BEAUTY SOAP",65,GM,65GM,CDBOX,0,MISUMI ROMANSU BEAUTY SOAP 65 GM CDBOX,NATURE'S BEAUTY CREATIONS LTD,MISUMI,CDBOX,65,GM,65.00 GM,0.5
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,"MALIBAN/490/GM/PLPCH /CREAM CRACKER, FAMILY PACK,SAVE RS 60",490,GM,490GM,PLPCH,1,,,,,,,,
SUNSHINE COUNSUMER LANKA LTD,RAN KAHATA,"RAN KAHATA/100/GM/PLPCH /TEA,SAVE RS 15",100,GM,100GM,PLPCH,0,RAN KAHATA TEA 100 GM PLPCH,SUNSHINE COUNSUMER LANKA LTD,RAN KAHATA,PLPCH,100,GM,100.00 GM,0.61
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/375G (75G ×5)/CDBOX/ALMOND OIL,VITAMIN E & MILK SAVE RS 45.00",375,GM,375G (75×5),CDBOX,0,BABY CHERAMY 75 GM*5 (375 GM) CDBOX ALMOND OIL AND VITAMIN E MILK + SAVE RS11.00,HEMAS MARKETING,BABY CHERAMY,CDBOX,375,GM,375.00 GM,0.74
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/375G( 75G×5)/CDBOX/FLORAL EXTRACTS,VITAMIN E & MILK SAVE RS 45.00",375,GM,375G (75G ×5),CDBOX,0,BABY CHERAMY 75 GM*5 (375 GM) CDBOX ALMOND OIL AND VITAMIN E MILK + SAVE RS11.00,HEMAS MARKETING,BABY CHERAMY,CDBOX,375,GM,375.00 GM,0.65
NESTLE LANKA,MILO,MILO/600/GM/PLPCH/ACTIVE-GO LIMITED OFFER,600,GM,600GM,PLPCH,1,,,,,,,,
IMPORTED,COLOURED,COLOURED/12 COLOURS/PINCILS,10000,10000,12 PENCIL,CD,1,,,,,,,,
CARGILLS FOODS & BEVERAGE LTD,KIST,KIST/200/GM/PBT/SQUEEASY BUDDY TOMATO SAUCE,10000,10000,200 GM,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP/120/GM/CD BOX/TRIPLE FRESH FORMULA PEPPERMINT SPLASH+SAVE 90,10000,10000,120/GM,CD BOX,1,,,,,,,,
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/1KG/PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER,1,KG,1KG,PLPCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ORIGINAL SAVE RS 50.00 FREE DIVA ROSE & LIME 200G,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + FREE TOILET BRUSH,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.52
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/500G/ PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER,500,GM,500G,PLPCH,0,DIVA DIRIYA 2 IN 1 CLEAN & FRAGRANT DETERGENT POWDER 500 GM PLPCH,HEMAS MARKETING,DIVA DIRIYA,PLPCH,500,GM,500.00 GM,0.49
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY/50ML/CDBOX/PURE & GENTLE BABY COLOGNE FREE PEARS BABY RATHMAL BABY SOAP 70G,50,ML,50ML,CDBOX,0,PEARS BABY MAGIC DROPS BABY COLOGNE 50 ML CDBOX+ FREE PEARS RATHMAL & KOKUM BABY SOAP 70 GM CDBOX,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,50,ML,50.00 ML,0.67
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/80ML/PLBOT/STRONG & THICK WITH RICE WATER PROTEIN +VITAMIN E HEALTH SHAMPOO,80,ML,80ML,PLBOT,0,LIFEBUOY STRONG & LONG MILK PROTEIN & MULTI VITAMIN HEALTH SHMP 80 ML PLBOT,UNILEVER SRI LANKA LTD,LIFEBUOY,PLBOT,80,ML,80.00 ML,0.6
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,RITZBURY,RITZBURY/25/GM/PLWRP/ROCCOA WITH MILK/MILK CHOCOLATE,10000,10000,25 GM,PLWRP,1,,,,,,,,
CEYLON BISCUITS LIMITED,RITZBURY,ROCCOA/45/GM/PLWRP/ROCCOA WITH CASHEW/MILK CHOCOLATE,10000,10000,45 GM,PLWRP,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ZELLERS,ZELLERS/90/GM/GM/CDBOX/DIVINE/CHOCO LAYERED BISCUITS,10000,10000,90 GM,CDBOX,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN YOYO,MALIBAN/85/GM/PLPCH/YOYO/CHOCO CREAM/CHOCOLATE CREAM BISCUIT,10000,10000,85 GM,PLPCH,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/250ML/CAN/GRAPE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ ORANGE BURST,250,ML,250ML,CAN,1,,,,,,,,
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY MAGIC DROPS BABY COLOGNE 100ML FREE PEARS BED TIME BABY CREAM WITH MOISTURE CREAM 50ML,100,ML,100ML,CDBOX,0,PEARS BABY ACTIVE FLORAL BABY COLOGNE 100 ML CDBOX + FREE PEARS BABY ACTIVE FLORAL BABY SOAP WITH MOISTURE CREAM CHOOTY PACK 70 GM CDBOX,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,100,ML,100.00 ML,0.7
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/POLOS FLAVOUR,10000,10000,60 GM,PLPCH,1,,,,,,,,
WIJITHA GROUP OF COMPANIES (PVT) LTD,WIJI,WIJI /250/GM/PLPCH/THIN STRING NOODLES,10000,10000,250 GM,PLPCH,1,,,,,,,,
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/ROASTED CHICKEN,10000,10000,60 GM,PLPCH,1,,,,,,,,
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/PRAWNS FLAVOUR,10000,10000,60 GM,PLPCH,1,,,,,,,,
GAMI RASA FOOD PRODUCTS ( PVC ) LTD,GAMIRASA,GAMIRASA/40/GM/PLPCH/BUCKET PACK,10000,10000,40 GM,PLPCH,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT VIBE,ELEPHANT/250/ML/VIBE/ORANGE BURST,10000,10000,250 ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT VIBE,ELEPHANT/250/ML/VIBE/GRAPE BURST,10000,10000,250 ML,CAN,1,,,,,,,,
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C \4\L\PL CAN\ NC THINNER,4,LTR,4L,PL CAN,1,,,,,,,,
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C\4\L\PL CAN\NC THINNER,4,LTR,4L,PL CAN,1,,,,,,,,
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C \2\L\PL CAN\NC THINNER,2,LTR,2L,PL CAN,1,,,,,,,,
LUCKY DISTRIBUTORS,DELTA,DELTA\4\L\PL CAN\WOOD PRESERVATIVE CLEAR,4,LTR,4L,PL CAN,1,,,,,,,,
LUCKY DISTRIBUTORS,DELTA,DELTA\2\L\PL CAN\WOOD PRESERVATIVE CLEAR,2,LTR,2L,PL CAN,1,,,,,,,,
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/450/GM/ CDBOX/CREAMY ICING  CAKE,450,GM,450GM,CDBOX,0,GREEN LIGHT STRAWBERRY ICING CAKE 450 GM,GREEN LIGHT BAKE HOUSE,GREEN LIGHT,CDBOX,450,GM,450.00 GM,0.62
