CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp,ERROR,SCORE
134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET,,,,,,,,,,,CATCODE,
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,,,,,,,,,,,PACKTYPE,
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,,,,,,,,,,,PACKTYPE,
134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET,,,,,,,,,,,CATCODE,
134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET,,,,,,,,,,,CATCODE,
105,PY PHILIP MORRIS,MARLBORO SMOOTHFLO GOLD ADVANCE,MARLBORO SMOOTHFLO/GOLD ADVANCE/PT PHILIP MORRIS/INDONESIA/HL 20 NOS,350,20 NOS,HL CBP,,,,,,,,,,,MANUFACTURE,
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW ,MOUNTAIN DEW \400ML\PBT\CARBONATED ,50,400ML,PBT,,,,,,,,,,,PACKTYPE,
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW ,MOUNTAIN DEW \400ML\PBT\CARBONATED ,50,400ML,PBT,,,,,,,,,,,PACKTYPE,
