t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-05-26,202205,130366006,1653381367292,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1653381367292-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,51089,116.27656555175781,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-05-26,202205,130366006,1653381367292,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1653381367292-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,99763514,116.40177917480469,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-05-26,202205,130366006,1653381367292,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1653381367292-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99765264,117.78379821777344,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 2000 ML,PET,2000.000 ML,MANGO,,2000.0,ML,270.0
2022-05-26,202205,131076027,1653378756582,99763704.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW\250ML\PBT,32.0,PBT,250ML,,1653378756582-pepsi cola cmpny imprtd-imprtd-mountain dew.png,RECODING,5,1,99763407,113.07217407226562,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW,PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,210.0
2022-05-26,202205,131076027,1653378756582,99763704.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW\250ML\PBT,32.0,PBT,250ML,,1653378756582-pepsi cola cmpny imprtd-imprtd-mountain dew.png,RECODING,5,2,99763713,114.07247161865234,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW,PET 1250 ML,PET,1250.000 ML,LEMON,,1250.0,ML,150.0
2022-05-26,202205,131076027,1653378756582,99763704.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW\250ML\PBT,32.0,PBT,250ML,,1653378756582-pepsi cola cmpny imprtd-imprtd-mountain dew.png,RECODING,5,3,20121457,114.09341430664062,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW,CAN 250 ML,CAN,250.000 ML,LEMON,,250.0,ML,0.0
2022-05-26,202205,1021134501781,1653391856924,99763705.0,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE 20 GM,35.0,PPH,20 GM,Any other reason,1653391856924-green tobacoo company pvt ltd-super like.png,RECODING,5,1,99763705,134.4788055419922,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE,20G KHAINI,PLAST,20G,REGULAR,,20.0,GM,35.0
2022-05-26,202205,1021134501781,1653391856924,99763705.0,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE 20 GM,35.0,PPH,20 GM,Any other reason,1653391856924-green tobacoo company pvt ltd-super like.png,RECODING,5,2,99765390,146.53311157226562,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE,18G KHAINI,PLAST,18G,REGULAR,,18.0,GM,40.0
2022-05-26,202205,1021134501781,1653391856924,99763705.0,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE 20 GM,35.0,PPH,20 GM,Any other reason,1653391856924-green tobacoo company pvt ltd-super like.png,RECODING,5,3,99762228,147.55780029296875,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE,16G KHAINI,PLAST,16G,REGULAR,,16.0,,0.0
2022-05-30,202205,132577913,1653810068971,,106,DABUR NEPAL LTD.-NEPAL,HAJMOLA CANDY ,HAJMOLA CANDY REGULAR ,1.0,SCT ,3 GM,,1653810068971-dabur nepal ltd--nepal-hajmola candy .png,DELETE THE ITEM,1,1,99764866,148.106201171875,106,DABUR NEPAL LTD.-NEPAL,DABUR,DABUR HAJMOLA CANDY,DABUR HAJMOLA CANDY-KHATTI METTHI PCN 550 GM,PLJAR,550.000 GM,KHATTI MITTHI,,550.0,GM,160.0
