t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,,,RECODING,5,4,99765207,129.60189819335938,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,,,RECODING,5,7,99765471,144.04483032226562,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,MIXED FRUIT TPK 180 ML,TPK,180.000 ML,MIXED FRUIT,,180.0,ML,30.0
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,,,RECODING,5,9,99765388,151.6617431640625,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,PINEAPPLE TPK 180 ML,TPK,180.000 ML,PINEAPPLE,,180.0,ML,30.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,Any other reason,,RECODING,5,4,99765207,129.60189819335938,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,Any other reason,,RECODING,5,7,99765471,144.04483032226562,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,MIXED FRUIT TPK 180 ML,TPK,180.000 ML,MIXED FRUIT,,180.0,ML,30.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25,180 ML.,TPK,Any other reason,,RECODING,5,9,99765388,151.6617431640625,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,PINEAPPLE TPK 180 ML,TPK,180.000 ML,PINEAPPLE,,180.0,ML,30.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,1,99764327,99.8509521484375,118,SURYODAYA DAIRY UDHYOG-NEPAL,ANUKUL,ANUKUL BADAM DRINK,BADAM DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,2,99763925,100.99684143066406,118,SURYODAYA DAIRY UDHYOG-NEPAL,GOKUL,GOKUL BADAM DRINK,BADAM & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,3,99765323,102.0533218383789,118,SURYODAYA DAIRY UDHYOG-NEPAL,SURYODAYA,SURYODAYA BADAM DRINK,ALMOND & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,99.0
14/05/2024,202405,2,125080524,21301020034,1715235885076,99765209,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,20,119 ML,PET,New SKU,1715235885076-spring food - beverage-nepal-perna litchy#3.png,RECODING,5,1,99763205,33.13108825683594,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 140 ML,PET,140.000 ML,LYCHEE,,140.0,ML,20.0
