MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
SWADESHI INDUSTRIAL WORKS LTD,SWADESHI KHOMBA,SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,10000,10000,67 GM,EWRPK
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/15G/CD BOX/NATURAL GLOW & PROTECT FACE CREAM,15,GM,15G,CD BOX
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/PBT/FLORAL KOHOMBA & ROSE WATER,100,ML,100ML,PBT
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI DANDRUFF SHAMPOO ,180,ML,180ML,PBT
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/25G/CD BOX/ANTI MARK & OIL CONTROL FACE CREAM,25,GM,25G,CD BOX
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/VRNIVEL,75,GM,75G,CD BOX
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/KOHOMBA,75,GM,75G,CD BOX
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85,GM,85GM,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85,GM,85GM,PLPCH
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400,GM,400G ,CDBOX 
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/25/GM/CDBOX/NATURAL GLOW & PROTECT FOR A GOLDEN GLOW FACE CREAM,25,GM,25GM,CDBOX
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/ANTI MARK & OIL CONTROL FOR SPOTLESS & OIL CLEAR SKIN FACE CREAM,15,GM,15GM,CDBOX
EMAMI LANKA PVT LTD ,FAIR & HANDSOME,EMAMI FAIR & HANDSOME/30/GM/CDBOX/NATURAL FIRST HEALTHY RADIANCE CREAM,30,GM,30GM,CDBOX
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/NATURAL GLOW & PROTECT FOR GOLDEN FACE CREAM,15,GM,15GM,CDBOX
CEYLON BISCUITS LIMITED,MUNCHEE CAROL,MUNCHEE CAROL COOKIES 85 GM ,10000,10000,85 GM,PLPCH
SUPER WHITE LANKA PVT LTD,SUPER WHITE,SUPER WHITE DISHWASH LEMON LIQUID 500 ML PLBOT,10000,10000,500 ML,PLBOT
AKILA INDUSTRIES,SASEEBRIGHT,SASEEBRIGHT LEMON SOAP 90 GM ,10000,10000,90 GM,EWRPK
KMT TRADERS ,KMT BRIGHT ,KMT BRIGHT LIFE DISH WASH  EXTRA POWER OF LIME 4 L,10000,10000,4 L,PLCAN
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400/GM/FULL CREAM MILK POWDER/CDBOX ,400,GM,400GM,CDBOX 
DARLEY BUTLER & COMPANY ,DARLEY ,DARLEY / CORN FLOUR / 100GM / CDBOX,100,GM,100GM,CDBOX
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ ROSE AND JASMINE /MOISTURISING SOAP /90G /CDBOX,90,GM,90G,CDBOX
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ SANDUN SEPALIKA /MOISTURISING SOAP /90G /CDBOX,90,GM,90G,CDBOX
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10000,10000,10 NO,PLPCH 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,10000,10000,25 GM,PLPCH
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,10000,10000,10 NO,PLPCH 
GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE/SOFT/SENSITIVE/TOOTH BRUSH/1 NOS,10000,10000,1 NOS,NONE
DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/MANGO DRINK,10000,10000,200 ML,PET
DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/PAPAYA DRINK ,10000,10000,200 ML,PET
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1 ST CUP/MALTED FOOD DRINK+FREE MAGGI PAPARE KOTTU 75 GM,10000,10000,400 GM,CDBOX 
LAKMEE EXPORTS,LAKMEE,LAKMEE/130/GM/PLPCH/MAGIC MIX/INSTANT NOODLES+FREE LAKMEE SAUCE 15GM SACHET ,10000,10000,130 GM,PLPCH 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS,10000,10000,67 GM,EWRPK 
