MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
NESTLE LANKA,MAGGI ,MAGGI/25/G/POUCH/REAL COCONUT MILK POWDER,25,GM,25G,POUCH
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM 70GM FREE PEARS BABY PURE & GENTLE BABY SHOP WITH OILVE OIL & MOIST. CREAM 70GM,70,GM,70GM,CDBOX
NESTLE LANKA LIMITED ,NESTOMALT ,NESTOMALT 1 ST CUP MALTED FOOD 400 GM/ FREE MAGGI PAPARE KOTTU STYLE 75GM,400,GM,400GM,CDBOX
DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP OLIVE 65GM,65,GM,65GM,CDBOX
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,SWADEHI KHOMBA  LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION 67GM,67,GM,67GM,PLPCH
GODAKANDA HERBALS (PVT) LTD ,VENDOL VENIVEL ,"VENDOL VENIVAL TURMERIC, VENIVEL, MARGOSA, SANDALWOOD WITH ALOE VERA 85GM",85,GM,85GM,CDBOX
PRINT EXCEL PVT LTD,RATHNA,RATHNA/80(A4)/PGS/EXERCISE BOOÄ¶,80,PGS,80PGS,10000
RASODA DAIRIES (PVT) LTD,RASODA VANILLA,RASODA/4000/ML/PLTUB/VENILLA ICE CREAM ,4000,ML,4000ML,PLTUB
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/GLOWING RADIANCE FOR GLOWING RADIANT SKIN WITH SANDALWOOD, KUMKUMADI TAILAM AND SAFFROON",70,GM,70GM ,CDBOX 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS FOR SKIN PROTECTION WITH KOHOMBA,PANCHAVALKADI TAILAM AND MINT",70,GM,70GM ,CDBOX 
RAVI HANSI ENTERPRISES ,HYFIX,HYFIX/17.5/ML/PLBOT/LIQUID GLU,17.5,ML,17.5ML,PLBOT 
NATURE'S BEAUTY CREATIONS LTD,CHAMPION,CHAMPION/65Ã—2/GM/EWPRK/RED ENERGY ,130,GM,130GM ,EWPRK 
VERONA FOOD PRODUCTS ,VERONA ,VERONA/50/GM/PLPCH/CHICKEN FLV SOYA MEAT/VERONA CEYLON FOOD PRODUCTS ,50,GM,50GM,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/50/GM/PLPCH/RINGO SHORTIES,50,GM,50GM,PLPCH
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/GM/PLPCH/FULL CREAM MILK POWDER+SAVE RS.50,400,GM,400GM,PLPCH
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/180/ML/PLBT/DRINKING YOGHURT VANILLA FLAVOUR,180,ML,180ML,PLBT
UNILEVER SRI LANKA LTD,RIN,RIN/200/GM/PLPCH/REFRESH LEMON & ROSE DETERGENT POWDER,200,GM,200GM,PLPCH
UDARATA TEA CENTER,TALAWAKELLE,THALAWAKELLE/50/GM/PLPCH/TEA HIGH GROWN,50,GM,50GM,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85/GM/PLPCH/CAROL COOKIES,85,GM,85GM,PLPCH
UDARATA TEA CENTER,THALAWAKELLE,THALAWAKELLE/100/GM/PLPCH/TEA HIGH GROWN,100,GM,100GM,PLPCH
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/70G/CD BOX/PURIFUNG WELLNESS/,70,GM,70G,CD
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/70G/CD BOX/GLOWING RADIANCE,70,GM,70G,CD
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL HERBAL,VENDOL VENIVAL/85G/CD BOX/TURMERIC VENIVAL /SAVE30/-,85,GM,85G,CD
4,4 EVER,4 EVER/30G/CDBOX/GOLD BB+ CREAM,30,GM,30G,CDBOX
4 EVER SKIN NATURALS (PVT) LTD,4 EVER SKIN NATURALS,4 EVER SKIN NATURALS/30G/CDBOX/GOLD BB+ CREAM ,30,GM,30G,CDBOX
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA ,KHOMBA /67G/POCH /LEMONGRASS/,67,GM,67G,POCH 
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/G/PLPCH/CAROL COOKIES,85,GM,85G,PLPCH 
CHINESE PARKVIEW HOTELS PVT LTD,PARKVIEW/,PARKVIEW/400/GM/NOODLES/PLCH,400,GM,400GM,PLCH
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, SANDALWOOD, AROODA, JASMINE, KOKUM POTHU/SAVE RS.15/=",70,GM,70GM ,CDB
NARAH COMPUTER FORMS,TEN,TEN/1/NO/DRAWING BOOK 40PGS MEDIUM SIZE ,1,NO,1NO,10000
UNILEVER SRI LANKA LTD,LEVER AYUSH,"LEVER AYUSH/70/GM/CDB/KOHOMBA, PANCHAVALKADI TAILAM & MINT PURIFYING WELLNESS FOR SKIN PROTECTION ",70,GM,70GM ,CDB
UNILEVER SRI LANKA LTD,LEVER AYUSH,"LEVER AYUSH/70/GM/CDB/SANDALWOOD, KUMKUMADI TAILAM & SAFFRON GLOWING RADIANCE ",70,GM,70GM ,CDB
NARAH COMPUTER FORMS,TEN,TEN/1/NO/EXERCISE BOOK 40 PGS A4,1,NO,1NO,10000
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE SENSITIVE/SOFT/01 NO,10000,10000,01 NO,01 NO
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA BABY,CHANDANALEPA BABY/70/GM/CDB/RATHMAL & POKURU WADA,70,GM,70GM ,CDB
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA BABY,CHANDANALEPA BABY/70/GM/CDB/MILK & HONEY ,70,GM,70GM ,CDB
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/G/PLPCH/FULL CREAM MILK POWDER /50/-SAVE,400,GM,400G,PLPCH 
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU/70/G/CDBOX/THAMBILI THEL.WHITE SANDAL .AROODA.SAMAN PICHCHA.KOKUM POTHU/15-SAVE,70,GM,70G,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400,GM,400G ,CDBOX 
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,ABHA,ABHA/21/G/PLPCH/ 5 MINUTE HAIR COLOUR LIQUID 9  GOODNESS OF HERBS FREE PARASHUTE NELLI COCONUT OIL,21,GM,21G,PLPCH
HEMAS MANUFACTURING PVT LTD,FEMS,FEMS\10NO (1 PACK)\EWRPK \DRYTEX WINGS 3X PROTECTION ,10,NO,10NO (1 PACK),EWRPK 
BESTON PRODUCTS,BESTON,BESTON/1000/GM/PLPCH/ CHILLI PIECES ,1000,GM,1000GM,PLPCH
BESTON PRODUCTS,BESTON,BESTON/1000/GM/PLPCH/CURRY POWDER ,1000,GM,1000GM,PLPCH
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX /1 ST CUP/MOLTED FOOD/FREE PACK /PAPARE KOTTU /75/GM/PLPCH,10000,10000,400 GM,CDBOX 
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,GODREJ,GODREJ/21/ML/PLPCH/EXPERT 5 MINUTES ENRICHED WITH ALOE VERA & NELLI NATURAL BLACK HAIR COLOUR LIQUID ,21,ML,21ML,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE CAROL COOKIES/85/GM/PLPCH,85,GM,85GM,PLPCH 
RITIGALA PRODUCTS (PVT) LTD,RITIGALA,RITIGALA/1000/GM/PLPCH/CHILLI CUTTER,1000,GM,1000GM ,PLPCH 
LINK NATURAL PRODUCT,LINK SUDANTHA,LINK SUDANTHA/2/NO/SMILE MEDIUM DOUBLE PACK/SAVE RS. 15/=,2,NO,2NO,10000
UNILEVER SRI LANKA LTD,DOVE,DOVE/80/ML/PBT/NUTRI SERUM HAIR FALL RESCUE SHAMPOO/VASELINE HEALTHY BRIGHT/15/GM/CDB/IN 2 WEEKS RESTORES VISIBLY BRIGHT SKIN SERUM IN LOTION ,80,ML,80ML ,PBT
HELARASA TRADING (PVT)LTD,HELARASA,HELA RASA/500/GM/PLPCH/SPECIAL NOODLES ,500,GM,500GM ,PLPCH 
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/240(80GÃ—3)/GM/CDB/ROSE & JASMINE MOISTURISING SOAP/B3 SAVE RS. 40/=,280,GM,280GM(80GÃ—3),CDB
UNILEVER SRI LANKA LTD,LIFEBUOY,"LIFEBUOY/175/ML/PBT/STRONG & THICK  HEALTH SHAMPOO WITH RICE WATER, PROTEIN + VITAMINS",175,ML,175ML ,PBT
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM",70,GM,70GM ,CDB
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/110/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM",110,GM,110GM ,CDB
LAKMEE EXPORTS,LAKMEE,LAKMEE/350/GM/PLPCH/INSTANT MAGIC MIX CHICKEN FLAVOURED/LAKMEE/75/GM/PLPCH/CHILLI & GARLIC SAUCE ,350,GM,350GM ,PLPCH 
HEMAS MARKETING,DIVA FRESH,DIVA FRESH/1000/GM/PLPCH/GARDENIA & ROSE 3 IN 1 LONG LASTING FRESHNESS ,1000,GM,1000GM,PLPCH 
RITIGALA PRODUCTS (PVT) LTD,RITIGALA,RITIGALA/500/GM/PLPCH/CURRY POWDER ,500,GM,500GM ,PLPCH 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDB/1ST CUP MALTED FOOD/FREE/MAGGI/75/GM/PLPCH/PAPARE KOTTU PACK,400,GM,400GM ,CDB
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VOLIN,VOLIN/90/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER ,90,GM,90GM ,CDB
UNILEVER SRI LANKA LTD,LIFEBUOY,"LIFEBUOY/80/ML/PBT/STRONG & THICK  HEALTH SHAMPOO WITH RICE WATER, PROTEIN + VITAMINS/FREE/LIFEBUOY/75/GM/EWREP/KHOMBA AND ALOE VERA ITHURUM LOKKA",80,ML,80ML ,PBT
DESHANI ENTERPRISES (PVT) LTD.,SUPIRISIDU ,SUPIRISIDU/100/ML/PBT/SILKY SPEED ACTION ,100,ML,100ML ,PBT
SAPPUWATTE DISTRIBUTORS,CHEMIRO,CHEMIRO / 375ML / WOOD PRESERVATIE / CLEAR/ GBT,375,ML,375ML,GBT
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,10000,10000,25 GM,PLPCH 
HIMALI STORES,HIMALI,HIMALI/50/GM/PLPCH /FACTORY FRESH TEA,50,GM,50GM,PLPCH 
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS/70/GM/CDBOX/ALOE VERA AND NEEM BABY SOAP CHOOTY PACK SAVE RS 20.00,70,GM,70GM,CDBOX 
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE/85/G/PLPSH/CAROL COOKIES,85,GM,85G,PLPSH 
NESTLE LANKA,NESTOMALT,"NESTOMALT/400/GM/CDBOX/ 1ST CUP,MALTED FOOD +FREE ,MAGGI/75/GM/PLPCH/PAPARE KOTTU NOODLES PACK ",400,GM,400GM,CDBOX 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS,WITH KOHOMBA,PANCHAVALKADI TAILAM AND MINT",70,GM,70GM,CDBOX 
RGM PRODUCT ,RGM,RGM/1000/GM/PLPCH/RGM CURRY POWDER ,10000,10000,1000 GM,PLPCH
SILVRMILL NATURAL BEVERAGES (PVT) LTD,SILVRMILL,SILVERMILL/330/ML/TPK/COCONUT MILK/,10000,10000,330 ML,TPK
RGM PRODUCT ,RGM,RGM/1000/GM/PLPCH/RGM CHILLI POWDER,10000,10000,1000 GM,PLPCH
SAKURA TAE,SAKURA TER,SAKURA/1000/GM/PLPCH/SAKURA PURE CEYLON TER,10000,10000,1000 GM,PLPCH
RGM PRODUCT ,RGM,RGM/1000/KG/PLPCH/ HILLI POWDER,10000,10000,1000 KG,PLPCH
HYGIENICALLY MANUFACTURED PRODUCT,SILVERMILL,SILVERMILL/330/ML/TPK/COCONUT MILK,10000,10000,330 ML,TPK
RGM PRODUCT ,RGM,RGM/1000/KG/PLPCH/CHILLI PAWDER,10000,10000,1000 KG,PLPCH
SACHIE BISCUITS (PVT) LTD,SACHIE BUDDY MARIE,SACHIE/360GM/PLPCH/BUDDY/MARIE BISCUIT ,360,GM,360GM,PLPCH 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/G/CD BOX/NO-1/EXFOLIATING WELLNESS VENIVEL,ALMOND & COCONUT SHELL POWER",70,GM,70G,CD BOX
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/G/CD BOX/NO-1/GLOWING RADIANCE SANDALWOOD, KUMKUMADI TALISMAN & SAFFRON ",70,GM,70G,CD BOX
UNILEVER SRI LANKA LTD,AYUSH,AYUSH\15\G\CD BOX\ANTI MARK & OIL CONTROL WITH KUMKUMADI TAILAM AND MINT,15,GM,15G,CD BOX
HEMAS MARKETING,BABY CHERAMY,BABY CHERAMY \200\ML\PBT\GENTLY CLEANES &SOFTNESS HAIR SHAMPOO +FREE BABY CHERAMY ALMOND OIL VITAMIN E MILK SOAP 70G,200,ML,200ML,PBT
UNILEVER SRI LANKA LTD,AYUSH,AYUSH\30\G\CD BOX\TOTAL ORAL CARE WITH CLOVE OIL & DASANAKANTHI CHOORNAM,30,GM,30G,CD BOX
CIC HOLDINGS (PVT) LTD,PEADIA SURE GOLD,PEDIA SURE GOLD\380\G\TIN\CLASSIC  VANILLA NUTRITIONAL SUPPLEMENT FOR CHILDREN 1-10YEARS,380,GM,380G,TIN
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,GODREJ,GODREJ EXPERT \21\ML\POUCH\5 MINUTES HAIR COLOUR LIQUID NATURAL BLACK ENRICHED WITH ALOE VERA & NELLI,21,ML,21ML,POUCH 
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE \1NO\SENSITIVE SOFT TOOTH BRUSH SAVE RS 95,1,NO,1NO,NO
WEERASINGHE TEA,WST,WST/100/G/PLUPCH/THALAWAKELE,100,GM,100G,PLUPCH
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/70/GM/CDBOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,70,GM,70GM,CDBOX 
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS KHOMBA, PANCHAVALKADI TAILAM AND MINT",70,GM,70GM,CDBOX 
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85/GM/PLPCH/CAROL COOKIES,10000,10000,85 GM,PLPCH 
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/100/ML/PBT/ADVANCED REPAIR SERUM IN LOTION,10000,10000,100 ML,PBT
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/100/ML/PLBOT/DEEP RESTORE 24 HR VASELINE JELLY,10000,10000,100 ML,PLBOT 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,10000,10000,400 GM,CDBOX 
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP KOHOMBA WITH COCONUT 70GM +(SAVE 15),70,GM,70GM,CDBOX
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP VENIVEL 70GM +SAVE 15,70,GM,70GM,CDBOX
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP KOHOMBA WITH COCONUT MILK & ALOE VERA 70GM + SAVE 15,70,GM,70GM,CDBOX
SAMMANA STATIONER (PVT) LTD,SAMMANEE ,SAMMANEE - B5 NOTE BOOK 200 PAGES ,80,PAGES,80PAGES,1NO
CHAMILA MILK PRODUCT ,CS DAILY ,CS / DAILY /200ML/CUP/ORENGE DRINK ,200,ML,200ML,CUP
C.R.B.INDUSTRIES,CHILL HOUSE ,CHILL HOUSE / 60 / ML / PLPCH / MILK FRUITY / FRUIT FLAVOURED MILK ICE LOLLY,10000,10000,60 ML,PLPCH 
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP ,75,GM,75GM,CDBOX
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75GM/CDBOX/ KOHOMBA AYURVEDA SOAP ,75,GM,75GM,CDBOX
HIMALI STORES,HIMALI PRODUCTS,HIMALI /25/GM/PLPCH /PEPPER POWDER,25,GM,25GM,PLPCH 
HIMALI STORES,HIMALI,HIMALI/50/GM/PLPCH /FACTORY FRESH TEA,50,GM,50GM,PLPCH 
DULAJ MARKETING,MADOLA TEA,MADOLA TEA/50/GM/PLPCH /PURE CEYLON TEA,50,GM,50GM,PLPCH 
HIMALI STORES,HIMALI PRODUCTS,HIMALI/50/GM/PLPCH /CHILLI POWDER,50,GM,50GM,PLPCH 
HIMALI STORES,HIMALI PRODUCTS,HIMALI/50/GM/PLPCH /ROSTED CURRY POWDER,50,GM,50GM,PLPCH 
HEMAS MARKETING,GOYA,GOYA ROSES /RUBY RED /70G/ CDBOX ,70,GM,70G,CDBOX 
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/MANGO NECTAR,200,ML,200ML,PET
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/MANGO NECTAR,500,ML,500ML,PET
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/MIX FRUIT NECTAR,500,ML,500ML,PET
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/ WOODAPPLE NECTAR ,200,ML,200ML,PET
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/MIX FRUIT NECTAR,200,ML,200ML,PET
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/WOODAPPLE NECTAR,500,ML,500ML,PET
DARLEY BUTLER,COW & GATE NEXT STEP 4,COW AND GATE 4/400/GM/TIN/3-6 YEARS NEXT STEPS  600 RS SAVE,400,GM,400GM ,TIN
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/70/GM/CDBOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,70,GM,70GM,CDBOX 
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS KHOMBA, PANCHAVALKADI TAILAM AND MINT",70,GM,70GM,CDBOX 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/30/ML/CDBOX/FLORAL BABY COLOGNE ,30,ML,30ML,CDBOX 
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/EXFOLIATING WELLNESS WITH VENIVEL,ALMOND OIL AND COCONUT SHELL POWDER ",70,GM,70GM,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400,GM,400G ,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP / 400GM/ MALTED FOOD / FREE MAGGI PAPARE KOTTU 75GM/ CDBOX ,400,GM,400GM ,CDBOX 
STASSEN FOODS LTD,PFANNER GREEN APPLE,PFANNER/1000/ML/TPK/PRUNER APFEL MELA VERDE,1000,ML,1000ML,TPK
HEMAS MARKETING,GOYA,GOYA/70/GM/PRETTY PINK/EWRPK ,10000,10000,70 GM,EWRPK 
HEMAS MARKETING,GOYA,GOYA/70/GM/RUBY RED/EWRPK ,10000,10000,70 GM,EWRPK 
SMITHLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE/1N/SENSITIVE SOFT,1,NO,1NO,CD COVER
REEBONN LANKA PVT LTD,GODREJ,GODREJ/200G(100Ã—2)/CDBOX/CINTHOL LIME REFRESHING DEO SOAP BUY TWO&SAVE 70/-,200,GM,200G,CDBOX
HEMAS MARKETING,GOLD,GOLD/50ML/CDBOX/GALAXY SPECIAL EDITION ,50,ML,50ML,CDBOX
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80ML/PLBOT/STUNNING BLACK SHINE SHAMPOO ACTIV MIX+FREE LIFUEBUOY 75G SOAP,80,ML,80ML,PLBOT
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/PLPCH/LEMONGRASS,10000,10000,67 GM,PLPCH 
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10000,10000,10 NO,PLPCH 
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP/120/GM/CDBOX/RED HOT TRIPLE FRESH FORMULA + SAVE 40,10000,10000,120 GM,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX /1 ST CUP/MOLTED FOOD/FREE PACK /PAPARE KOTTU /75/GM/PLPCH,10000,10000,400 GM,CDBOX 
GEORGE STEUARTS TEA,STEUARTS,STEUARTS TEA /200/GM/PLPCH /(100 )TEA BAGS/STEUARTS CATERING PACK,10000,10000,200 GM  ,PLPCH 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/125/GM/CDBOX / REAL COCONUT MILK POWDER ,10000,10000,125 GM,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/MALTED FOOD/WITH/MAGGI/75/G/PLPCH/PAPARE  KOTTU/FREE,400,GM,400G,CDBOX 
KINGS WAY PRODUCTS,KINGS WAY,KINGSWAY/8/G/EWRPK/LONG COOL/PEPPERMINT,8,GM,8G,EWRPK 
NATURE'S BEAUTY CREATIONS LTD,NATURES SECRETS,NATURE SECRETS/ 100 ML / PLBOT  / BRIGHTENING CARE ENRICHED WITH COCOA BUTTER  PAPAYA  & VITAMIN B3,10000,10000,100 ML,PLBOT 
GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE/SOFT/SENSITIVE/TOOTH BRUSH/1 NOS,10000,10000,1 NOS,NONE
SACHIE BISCUITS (PVT) LTD,SACHIE BUDDY MARIE,SACHIE/360/GM/PLPCH/BUDDY MARI BISCUITS ,360,GM,360GM,PLPCH 
UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT/(110*2) 220/GM/EWRPK/LEMON LAUNDRY BAR/SAVE RS 85,10000,10000,(110*2) 220GM,EWRPK 
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CD BOX/FREE MAGGI PAPARE KOTTU 75G,400,GM,400G,CD BOX
ICL MARKETING,BLACK KNIGHT,BLACK KINIGHT/18.5ML/POKET/DARK KIIGHT,18.5,ML,18.5ML,POCEET
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/POKET BOX/FRESH EXTREM/,18.5,ML,18.5ML,POCET
LAKSIRI ENTERPISES,LAKSIRI,LAKSIRI/50/GM/PLPCH/CHILLI POWDER ,50,GM,50GM,PLPCH
J.D.DISTRIBUTORS,JD COOL,JD COOL/190/ML/PLCUP/VINO FLAVOURED DRINK,190,ML,190ML,PLCUP
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE WITH KING COCONUT OIL SHAMPOO 80ML /FREE LIFEBUOY MILD CARE SOAP( SAVE 5),80,ML,80ML,PLBOT
RAIGAM MARKETING SERVICE (PVT)LTD,RAIGAM ,RAIGAM CHICKEN FLAVOURED SOYA 40GM ( DARAPORANU SOYA),40,GM,40GM,PLPCH
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE WITH AMLA OIL PEARL PROTEIN & VITAMIN E  80ML + FREE LIFEBUOY MILD CARE 75GM (SAVE 5),80,ML,80ML,PLBOT
PEPSICO INTERNATIONAL,OLE CREAM SODA,OLE/400/ML/PLBOT / OLE CREAM SODA ,400,ML,400ML,PLBOT 
IMPORTED,FOGG,FOGG/120/ML/TIN/ABSOLUTE,10000,10000,120 ML,TIN
IMPORTED,FOGG,FOGG/120/ML/TIN/DYNAMIC,10000,10000,120 ML,TIN
ELEPHANT HOUSE ,KULFI FLAVOURED ,ELEPHANT HOUSE /KULFI FLAVOURED WHITE CHOCO COATED ICE CREAM /PLPCH /50ML ,50,ML,50ML,PLPCH 
HEMAS MARKETING,FEMS,FEMS/10/NO/DRYTEX WINGS 3X PROTECTION SANTARY NAPKINS,10,NO,10NO,10000
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/50/GM/PLPCH/MELKO FULL CREAM MILK POWDER ,50,GM,50GM,PLPCH 
EMA FOOD PRODUCTS,EMA,EMA/250G/PLPCH / ROASTED CURRY POWDER ,250,GM,250G,PLPCH 
EMA FOOD PRODUCTS,EMA,EMA/250G/PLPCH/CURRY POWDER ,250,GM,250G,PLPCH 
EMA FOOD PRODUCTS,EMA,EMA/25G/PLPCH/TURMERIC POWDER ,25,GM,25G,PLPCH 
UNILEVER SRI LANKA LTD,LUX,LUX/210G/EWPRK/BRIGHT GLOW VITAMIN C + E 70G BUY 2 GET 1 FREE SOFT GLOW JASMINE 70G ,210,GM,210G,EWPRK 
COLOMBO COMMODITIES,MIRICH,MIRICH/500/GM/ CHILLI POWDER/PLCH,500,GM,500GM,PLCH
ESCHNOW INTERNATIONAL PVT LTD,REAL,REAL/1500/ML/PLBOT/BOTTELED DRINKING WATER,10000,10000,1500/ML,PLBOT 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA/67/GM/LEMONGRASS/PPP/THE SWADESHI INDUSTRIAL WORKS,67,GM,67GM,PPP
HIMALAYA WELLNESS COMPANY ,HIMALAYA ,HIMALAYA COMPLETE CARE TOOTH PASTE/40 GM/CD BOX,10000,10000,40 GM,CD BOX 
SANIK MARKETING PVT LTD ,DETTOL,DETTOL PROSKIN CARE 70GMÃ—3 /BUY 2 GET 1 FREE ,70,GM,70GM Ã—3,EWRPK 
ICL BRANDS PVT LTD,SAFE + GUARD,SAFE+GUARD MINT BREEZE 70GMÃ—4 FREE 70GM MANDARIN TOUCH SOAP/SAVE 100,70,GM,70GM Ã—4,CD BOX 
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS ALOE  VERA & NEEM BABY CREAM/200 ML/PLBOT,10000,10000,200 ML,PLBOT
