CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE
134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP
134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET
134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET
105,PY PHILIP MORRIS,MARLBORO SMOOTHFLO GOLD ADVANCE,MARLBORO SMOOTHFLO/GOLD ADVANCE/PT PHILIP MORRIS/INDONESIA/HL 20 NOS,350,20 NOS,HL CBP
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW ,MOUNTAIN DEW \400ML\PBT\CARBONATED ,50,400ML,PBT
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW ,MOUNTAIN DEW \400ML\PBT\CARBONATED ,50,400ML,PBT
