catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
105,GORKHA LAHARI PVT.LTD.- NEPAL,MAJOR,MAJOR-MAJOR-FULL FLAVOUR-HL 20'S-NON-FILTER-VALUE,HL,20.0,NO,20
105,PT DJARUM KUDUS-INDONESIA,DJARUM BLACK,DJARUM BLACK-DJARUM-KRETEK-HL 16'S-KS REGULAR-PREMIUM,HL,16.0,NO,16
105,PT DJARUM KUDUS-INDONESIA,DJARUM BLACK,DJARUM BLACK-DJARUM-KRETEK-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,KHUKURI,KHUKURI-KHUKURI-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SHIKHAR FILTER KINGS,SHIKHAR FILTER KINGS-SHIKHAR-FULL FLAVOUR-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA LUXURY BLUE,SURYA LUXURY BLUE-SURYA-LIGHT-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA LUXURY KINGS,SURYA LUXURY KINGS-SURYA-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,AMARAN OLEH KERAJAAN - MALAYSIA,GUDANG GARAM MENTHOL,GUDANG GARAM MENTHOL-GUDANG GARAM-KRETEK-HL 12'S-LONG REGULAR-PREMIUM,HL,12.0,NO,12
105,SURYA NEPAL PVT LTD - NEPAL,BIJULI,BIJULI-BIJULI-FULL FLAVOUR-SC 20'S-NON-FILTER-VALUE,SC,20.0,NO,20
105,GOLD STEP TOBACCO PVT LTD,INDONESIA BLACK,INDONESIA BLACK-INDONESIA BLACK-FULL FLAVOUR-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,PT PHILIP MORRIS-INDONESIA,MARLBORO RED,MARLBORO RED-MARLBORO-FULL FLAVOUR-HL 20'S-NON-FILTER-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,PILOT FILTER,PILOT FILTER-PILOT-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN MOUNTAIN FRESH,CAPTAIN MOUNTAIN FRESH-CAPTAIN-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA MINT,SURYA MINT-SURYA-FRESH-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,NON STOCKER,NON STOCKER,NON STOCKER-NON STOCKER--NON STOCKER--,,0.0,,
105,JT INTERNATIONAL - SA,MEVIUS ORIGINAL BLUE,MEVIUS ORIGINAL BLUE-MEVIUS-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,KT&G-KOREA,ESSE LIGHTS,ESSE LIGHTS-ESSE-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,NAULO BURST,NAULO BURST-NAULO-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SHAAN FILTER,SHAAN FILTER-SHAAN-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,PERFECT BLENDS PVT LTD,PASSION MINT,PASSION MINT-PASSION-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA FILTER PUNCH,SAHARA FILTER PUNCH-SAHARA-FRESH-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,WINNER SPECIAL FILTER,WINNER SPECIAL FILTER-WINNER-FULL FLAVOUR-SC 20'S-KS SLIM-VALUE,SC,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,ACTION LIGHTS,ACTION LIGHTS-ACTION-LIGHT-HL 20'S-KS REGULAR-VALUE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA DUAL BURST,SURYA DUAL BURST-SURYA-FRESH-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,PT DJARUM KUDUS-INDONESIA,L.A MENTHOL,L.A MENTHOL-L.A-KRETEK-HL 16'S-KS REGULAR-PREMIUM,HL,16.0,NO,16
105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER-GORKHA-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU FILTER,MAYALU FILTER-MAYALU-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,STRIKER SPICE RUSH,STRIKER SPICE RUSH-STRIKER-FRESH-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD ADVANCE,MARLBORO GOLD ADVANCE-MARLBORO-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION-SURYA-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN GOLD FILTER KINGS,CAPTAIN GOLD FILTER KINGS-CAPTAIN-FULL FLAVOUR-HL 20'S-LONG REGULAR-MID-PRICE,HL,20.0,NO,20
105,JT INTERNATIONAL - SA,CAMEL CONNECT ORIGINAL,CAMEL CONNECT ORIGINAL-CAMEL CONNECT-FULL FLAVOUR-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,JT INTERNATIONAL - SA,CAMEL CONNECT MINT CRUSH,CAMEL CONNECT MINT CRUSH-CAMEL CONNECT-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,NEPAL GOLD FLAKE PREMIUM FILTER,NEPAL GOLD FLAKE PREMIUM FILTER-NEPAL GOLD FLAKE-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,KT&G-KOREA,ESSE CHANGE,ESSE CHANGE-ESSE-FRESH-HL 20'S-LONG SS-PREMIUM,HL,20.0,NO,20
