itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30079,TURNEY GIFT ASSORTMENT 320 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY GIFT ASSORTMENT,CDBOX,,,320.0,GM,320.00 GM,201705.0,1
30080,TURNEY GIFT ASSORTMENT 400 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY GIFT ASSORTMENT,CDBOX,,,400.0,GM,400.00 GM,201604.0,1
30082,TURNEY TEA TIME 170 GM CDBOX (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY TEA TIME,CDBOX,,,170.0,GM,170.00 GM,201902.0,1
30083,USWATTE GIFT ASSORTMENT 380 GM CDBOX,6,BISCUITS,USWATTE CONFECTIONERY,USWATTE GIFT ASSORTMENT,CDBOX,,,380.0,GM,380.00 GM,201901.0,1
30084,USWATTE TEA TIME BISCUIT ASSORTMENT 190 GM CDBOX,6,BISCUITS,USWATTE CONFECTIONERY,USWATTE TEA TIME BISC. ASSORTMENT,CDBOX,,,190.0,GM,190.00 GM,201901.0,1
30085,BISCO BATTER DELIGHT 45 GM,6,BISCUITS,BISCO FOODS (PVT) LTD,BISCO BATTER DELIGHT,PLPCH,,,45.0,GM,45.00 GM,201809.0,1
30086,BISCO BATTER DELIGHT 50 GM,6,BISCUITS,BISCO FOODS (PVT) LTD,BISCO BATTER DELIGHT,PLPCH,,,50.0,GM,50.00 GM,201703.0,1
30087,MUNCHEE CHOCOLATE CAROLS COOKIES 100 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CHOCOLATE CAROLS,PLPCH,,,100.0,GM,100.00 GM,201306.0,1
30088,MUNCHEE CHOCOLATE CAROLS COOKIES 275 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CHOCOLATE CAROLS,PLPCH,,,275.0,GM,275.00 GM,201306.0,1
30089,MUNCHEE CHOCOLATE CAROLS COOKIES 300 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CHOCOLATE CAROLS,PLPCH,,,300.0,GM,300.00 GM,201906.0,1
30090,MUNCHEE CRUNCHEE CAROLS COOKIES 100 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,PLPCH,,,100.0,GM,100.00 GM,201211.0,1
30091,MUNCHEE CRUNCHEE CAROLS COOKIES 275 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,PLPCH,,,275.0,GM,275.00 GM,201212.0,1
30092,MUNCHEE CRUNCHEE CAROLS COOKIES 300 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,PLPCH,,,300.0,GM,300.00 GM,201904.0,1
30097,DAINTEE BATTER CAROLS 400 GM,6,BISCUITS,DAINTEE LIMITED,DAINTEE BATTER CAROLS,PLPCH,,,400.0,GM,400.00 GM,201003.0,1
30101,LITTLE LION BATTER CAROL COOKIES 100 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,100.0,GM,100.00 GM,201109.0,1
30102,LITTLE LION BATTER CAROL COOKIES 110 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,110.0,GM,110.00 GM,201701.0,1
30103,LITTLE LION BATTER CAROL COOKIES 270 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,270.0,GM,270.00 GM,201707.0,1
30104,LITTLE LION BATTER CAROL COOKIES 275 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,275.0,GM,275.00 GM,201012.0,1
30105,LITTLE LION BATTER CAROL COOKIES 360 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,360.0,GM,360.00 GM,201707.0,1
30106,LITTLE LION BATTER CAROL COOKIES 400 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,400.0,GM,400.00 GM,201011.0,1
30107,LITTLE LION BATTER CAROL COOKIES 450 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,450.0,GM,450.00 GM,201707.0,1
30108,LITTLE LION BATTER CAROL COOKIES 455 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,455.0,GM,455.00 GM,201203.0,1
30109,LITTLE LION BATTER CAROL COOKIES 95 GM PLPCH,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION BATTER CAROL,PLPCH,,,95.0,GM,95.00 GM,201809.0,1
30110,LUCKYLAND BUTTER CAROL 100 GM,6,BISCUITS,LUCKYLAND BISCUITS MFS,LUCKYLAND BUTTER CAROL,PLPCH,,,100.0,GM,100.00 GM,200511.0,1
30111,MAAM (MAAM BIS.) BETTER CAROLS 220 GM,6,BISCUITS,MAAM BISCUITS LANKA (PVT) LTD,MAAM BETTER CARROL,PLPCH,,,220.0,GM,220.00 GM,201710.0,1
30112,MAAM BETTER CAROLS 270 GM (ORIENT LANKA),6,BISCUITS,ORIENT LANKA CONFECTIONERY,MAAM BETTER CARROL,PLPCH,,,270.0,GM,270.00 GM,201408.0,1
30114,RICH BETTER CAROL 220 GM,6,BISCUITS,ORIENT LANKA CONFECTIONERY,RICH BETTER CAROL,PLPCH,,,220.0,GM,220.00 GM,201902.0,1
30115,RICH CHOCOLATE CAROL 220 GM,6,BISCUITS,ORIENT LANKA CONFECTIONERY,RICH CHOCOLATE CAROL,PLPCH,,,220.0,GM,220.00 GM,202003.0,1
30118,MUNCHEE CHOC SHOCK 30 GM CDBOX CHOCOLATE CENTERED BISCUIT,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CHOC SHOCK,CDBOX,,,30.0,GM,30.00 GM,201809.0,1
