t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
10,2023-04-11,202304,2,129024634,22101020014,1681107693734,99764974,134,AMAANZA AGRO INDIA PVT LTD-INDIA,FRUIT HIT,FRUIT HIT\200ML\TPK\MANGO ,32.0,TPK,200ML,,1681107693734-amaanza agro india pvt ltd-india-fruit hit#3.png,RECODING,5,99764974,99763942,20110748,1
11,2023-04-11,202304,2,129024634,22101020014,1681106222232,99764973,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,PEPSI,PEPSI\250ML\PBT\MORE FIZZ,32.0,PBT,250ML,,1681106222232-pepsi cola cmpny imprtd-imprtd-pepsi#3.png,RECODING,5,99764973,20121459,99763463,1
12,2023-04-12,202304,2,233775810076,23377020003,1681199388753,nan,118,ICE BEVERAGE PVT LTD-INDIA,RC Q LEMON LIME,RC Q \300ML\PBT\LEMON LIME,28.8,PBT,300ML,,1681199388753-ice beverage pvt ltd-india-rc q lemon lime#3.png,RECODING,5,52740,99764218,99764991,1
13,2023-04-12,202304,2,233775810010,23377020002,1681196728958,99764975,134,SHREE RAM FOOD PRODUCT-INDIA,FRUTOLA,FRUTOLA\100ML\PBT\LITCHI,8.0,100ML,PBT,,1681196728958-shree ram food product-india-frutola#3.png,RECODING,5,99764975,99764938,None,1
14,2023-04-12,202304,2,124865093,52202020009,1680853322789,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,99764966,20150012,99765140,1
15,2023-04-12,202304,2,124865093,52202020009,1681190419697,99764976,134,AMRAPALI BEVERAGE-NEPAL,AMRAPALI KOOL ALPHONSO,AMRAPALI KOOL ALPHONSO/200ML/TPK/MANGO/20ML EXTRA ,25.0,TPK,200ML ,,1681190419697-amrapali beverage-nepal-amrapali kool alphonso#3.png,RECODING,5,99764976,99762480,52510,1
16,2023-04-12,202304,2,111918525,12101020019,1681188041741,99764977,134,SHREEJEE FOOD & BEVERAGE INDUSTRY NEPAL,TRISHNA GOLD,TRISHNA GOLD PROCESSED DRINKING WATER PET-1000 ML.,20.0,PET,1000 ML.,,1681188041741-shreejee food - beverage industry nepal-trishna gold#3.png,RECODING,5,99764977,99764978,99765476,1
17,2023-04-12,202304,2,111918525,12101020019,1681189162046,99764979,134,INDRAWATI PET & BEVERAGE IND NEPAL,DUDH KOSHI,DUDH KOSHI PROCESSED DRINKING WATER PET-1000 ML.,20.0,PET,1000 ML,,1681189162046-indrawati pet - beverage ind nepal-dudh koshi#3.png,RECODING,5,99764979,40120852,40120727,1
18,2023-04-12,202304,2,111918525,12101020019,1681188373657,99764978,134,SHREEJEE FOOD & BEVERAGE INDUSTRY NEPAL,TRISHNA GOLD,TRISHNA GOLD PROCESSED DRINKING WATER - PET-500 ML.,15.0,PET,500 ML.,,1681188373657-shreejee food - beverage industry nepal-trishna gold#3.png,RECODING,5,99764978,99764977,99765476,1
19,2023-04-12,202304,2,124328539,21301020038,1681196876709,99764980,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER NIMBU FIZZIN,REAL FRUIT POWER NIMBU FIZZIN\150\ML,30.0,PET,150 ML,New SKU,1681196876709-dabur nepal ltd--nepal-real fruit power nimbu fizzin#3.png,RECODING,5,99764980,99764967,99764981,1
20,2023-04-12,202304,2,124328539,21301020038,1681030084943,99764967,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER MASALA COLA FIZZIN,REAL FRUIT POWER MASALA COLA FIZZIN\150\ML,30.0,PET,150 ML,,1681030084943-dabur nepal ltd--nepal-real fruit power masala cola fizzin#3.png,RECODING,5,99764967,99764980,99764981,1
