t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
17-01-2022,202201,118032998,1642230427930,99762990,122,HIMGIRI HYGIENE PVT LTD-NEPAL,DHONI ULTRA,DHONI ULTRA PPH 750 GM,110,PPH,750 GM,,1642230427930-himgiri hygiene pvt ltd-nepal-dhoni ultra.png,RECODING,5,99763160,99764468,99763783,1
17-01-2022,202201,118032998,1642230635862,99762868,123,SUNLIGHT SABUN UDHYOG-NEPAL,BHAIRAV GOLD,BHAIRAV GOLD PPH 200 GM ,40,PPH,200 GM ,,1642230635862-sunlight sabun udhyog-nepal-bhairav gold.png,RECODING,5,99764310,99763060,99762868,1
17-01-2022,202201,118111995,1642223120959,99762984,118,CHUDALI BUSINESS GROUP,ARGHAKHACHI,AQUA ARGHAKHACHI PBT 1000 ML,25,PBT,1000 ML,,1642223120959-chudali business group-arghakhachi.png,RECODING,5,99762984,40120925,51974,1
18-01-2022,202201,212581910093,1642322464421,99763001,118,SAMBHAVI BEVERAGE-NEPAL,SAMBHAVI CHISO COLA,SAMBHAVI CHIS OCOLA\2.5\ML,225,PPH,2.5 ML,New SKU,1642322464421-sambhavi beverage-nepal-sambhavi chiso cola.png,RECODING,5,99763572,99763001,99762463,1
18-01-2022,202201,212581910093,1642322619570,99763000,118,SAMBHAVI FOOD AND BEVERAGE,SAMBHAVI CHISO COLA,MAINTAIN DEW\2.5\ML,225,PPH,2.5 ML,New SKU,1642322619570-sambhavi food and beverage-sambhavi chiso cola.png,RECODING,5,99763572,99763001,99762463,1
18-01-2022,202201,212582710078,1642324778472,99763002,123,HIMGIRI HYGIENE PVT LTD-NEPAL,SHAKTI 250,SHAKTI \250\GM,40,EWP,250 GM,New SKU,1642324778472-himgiri hygiene pvt ltd-nepal-shakti 250.png,RECODING,5,99763002,99763554,99763552,1
18-01-2022,202201,212581910120,1642393019434,99763003,123,HIMGIRI HYGIENE PVT LTD-NEPAL,WAHA72%,WAHA72% LAUNDRY SOAP\300\GM,50,300GM,PPH,New SKU,1642393019434-himgiri hygiene pvt ltd-nepal-waha72-.png,RECODING,5,99763003,99764068,,2
